fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label
13920,20133,15350,40,26112,1020,749.864,-80.673,-82.481,1.808,1.022411464,13578,13354.38572,223.6142784,0
19304,18849,10633,44,31744,1051,745.616,-79.098,-81.082,1.984,1.025082809,13566,13354.38572,211.6142784,0
17286,18487,12495,48,12032,1051,748.808,-80.383,-81.206,0.823,1.010238483,13592,13519.99331,72.00669379,0
16864,17129,12301,44,43264,1050,746.68,-80.332,-81.26,0.928,1.011552059,13613,13519.99331,93.00669379,0
16343,16565,12515,44,9216,1020,744.544,-80.233,-81.169,0.936,1.011666023,13584,13519.99331,64.00669379,0
17500,17211,10649,52,13824,1050,748.8,-80.521,-81.245,0.724,1.008991443,13607,13519.99331,87.00669379,0
17985,18605,13179,44,43776,1020,746.68,-80.258,-81.241,0.983,1.012248,13602,13519.99331,82.00669379,0
18558,19218,11705,52,14080,1051,744.544,-80.039,-82.591,2.552,1.031884456,13584,13519.99331,64.00669379,0
16512,15640,8636,40,15872,1020,748.808,-80.343,-82.649,2.306,1.02870194,13600,13519.99331,80.00669379,0
17632,19578,13743,52,60160,1051,747.744,-81.839,-82.644,0.805,1.009836386,13564,13519.99331,44.00669379,0
17671,17164,10366,48,30720,1049,745.616,-80.478,-81.203,0.725,1.009008673,13617,13519.99331,97.00669379,0
16084,19400,15369,44,5632,1020,744.512,-80.205,-81.177,0.972,1.012118945,13603,13519.99331,83.00669379,0
17796,17088,10921,40,13056,1049,748.8,-80.333,-81.157,0.824,1.010257304,13555,13519.99331,35.00669379,0
18650,20268,16192,60,55552,1020,747.712,-81.889,-82.796,0.907,1.011075969,13593,13519.99331,73.00669379,0
12909,17322,15361,48,35328,1051,746.648,-80.453,-81.328,0.875,1.010875915,13570,13519.99331,50.00669379,0
14851,17412,14187,40,6400,1049,744.52,-80.416,-81.431,1.015,1.012621866,13577,13519.99331,57.00669379,0
18785,18366,12112,48,28928,1051,749.864,-81.993,-82.857,0.864,1.010537485,13583,13519.99331,63.00669379,0
16364,18813,14606,48,7680,1049,748.776,-80.442,-81.502,1.06,1.013177196,13615,13519.99331,95.00669379,0
