fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label
17442,18524,18109,48,49152,1048,747.704,-79.948,-81.873,1.925,1.024078151,10786,10969.41142,-183.4114245,0
15902,16878,16291,40,18432,1051,745.584,-79.901,-81.777,1.876,1.023479055,10801,10969.41142,-168.4114245,0
15693,17078,11315,48,12288,1020,748.8,-79.997,-82.899,2.902,1.03627636,10780,10969.41142,-189.4114245,0
17418,18170,13887,52,7936,1050,744.52,-79.869,-81.519,1.65,1.020658829,10855,10969.41142,-114.4114245,0
17251,17790,16244,52,4096,1051,748.768,-78.102,-80.003,1.901,1.024339966,10819,10969.41142,-150.4114245,0
17693,16171,9539,44,63744,1021,747.744,-78.007,-82.8,4.793,1.061443204,10829,10969.41142,-140.4114245,0
16504,17362,13013,52,58880,1051,743.48,-79.98,-81.408,1.428,1.017854464,10855,10969.41142,-114.4114245,0
16561,17365,12858,56,59136,1020,747.736,-78.005,-81.428,3.423,1.043881802,10830,10969.41142,-139.4114245,0
17432,17728,15372,44,54528,1051,747.704,-79.931,-81.633,1.702,1.021293366,10799,10969.41142,-170.4114245,0
17978,16671,10320,52,46592,1050,746.672,-79.969,-82.971,3.002,1.037539547,10819,10969.41142,-150.4114245,0
17413,17758,14276,60,39936,1020,746.648,-79.858,-81.467,1.609,1.020148263,10793,10969.41142,-176.4114245,0
17754,18564,16767,44,35584,1051,746.648,-79.881,-81.777,1.896,1.023735306,10811,10969.41142,-158.4114245,0
17247,16888,17398,60,34560,1021,746.64,-79.855,-81.634,1.779,1.022277879,10792,10969.41142,-177.4114245,0
16845,15991,12083,44,26112,1051,741.352,-79.895,-82.992,3.097,1.038763377,10806,10969.41142,-163.4114245,0
16731,15791,12780,48,24832,1021,745.608,-79.827,-81.005,1.178,1.014756912,10831,10969.41142,-138.4114245,0
17116,17941,15096,52,22784,1052,745.584,-78.052,-81.825,3.773,1.048339568,10793,10969.41142,-176.4114245,0
15745,17142,14392,52,22016,1020,749.832,-79.913,-81.441,1.528,1.019120794,10832,10969.41142,-137.4114245,0
15340,16811,14203,48,23040,1022,745.584,-79.895,-81.3,1.405,1.017585581,10800,10969.41142,-169.4114245,0
17782,18447,16683,56,19968,1052,749.84,-79.927,-81.749,1.822,1.022795801,10802,10969.41142,-167.4114245,0
16757,18029,14930,52,20480,1021,745.576,-78.013,-81.72,3.707,1.047517721,10854,10969.41142,-115.4114245,0
18303,18502,12070,52,12800,1051,748.8,-79.878,-81.196,1.318,1.016500163,10774,10969.41142,-195.4114245,0
17039,17702,15125,52,6144,1052,744.52,-78.141,-81.868,3.727,1.047695832,10781,10969.41142,-188.4114245,0
15665,17386,14380,56,4096,1021,748.768,-79.792,-81.376,1.584,1.019851614,10847,10969.41142,-122.4114245,0
16635,17331,13045,52,58880,1051,743.48,-78.128,-81.497,3.369,1.043121544,10858,10969.41142,-111.4114245,0
16849,17613,14628,52,56064,1052,747.712,-79.956,-81.643,1.687,1.021099105,10793,10969.41142,-176.4114245,0
17376,18040,16326,56,36096,1051,746.648,-79.996,-81.86,1.864,1.023301165,10819,10969.41142,-150.4114245,0
17290,17948,15465,48,22016,1021,745.576,-79.946,-81.819,1.873,1.023428314,10824,10969.41142,-145.4114245,0
16543,16518,15561,52,5376,1052,748.768,-78.049,-81.537,3.488,1.044689874,10788,10969.41142,-181.4114245,0
17225,15364,9113,40,47360,1051,746.68,-79.916,-82.656,2.74,1.034286,10800,10969.41142,-169.4114245,0
17114,17459,15817,56,21504,1021,745.576,-78.005,-81.662,3.657,1.04688161,10819,10969.41142,-150.4114245,0
16219,17321,14526,40,6656,1052,748.776,-79.965,-81.617,1.652,1.020659038,10771,10969.41142,-198.4114245,0
17118,17714,12898,48,43008,1051,746.68,-79.903,-81.324,1.421,1.017784063,10789,10969.41142,-180.4114245,0
17760,18222,11021,48,31232,1052,741.36,-78.001,-81.269,3.268,1.041896899,10869,10969.41142,-100.4114245,0
17809,18604,16218,52,20480,1021,745.576,-79.938,-81.8,1.862,1.023293052,10868,10969.41142,-101.4114245,0
16451,16609,15980,52,4096,1051,748.768,-78.006,-81.577,3.571,1.04577853,10779,10969.41142,-190.4114245,0
17725,18581,15639,44,54272,1021,747.704,-79.995,-81.785,1.79,1.022376399,10821,10969.41142,-148.4114245,0
17089,17728,16134,44,35584,1020,746.648,-78.054,-81.82,3.766,1.048248648,10827,10969.41142,-142.4114245,0
16727,17202,12419,44,27136,1021,749.872,-79.966,-81.297,1.331,1.016644574,10821,10969.41142,-148.4114245,0
17025,17815,16874,60,17920,1051,745.576,-78.05,-81.945,3.895,1.049903908,10839,10969.41142,-130.4114245,0
17676,18555,17284,52,18176,1020,749.832,-78.059,-81.995,3.936,1.050423398,10823,10969.41142,-146.4114245,0
16606,15962,13770,40,6912,1021,744.52,-79.841,-81.142,1.301,1.016294886,10774,10969.41142,-195.4114245,0
16205,17609,14277,52,4352,1051,748.768,-79.983,-81.598,1.615,1.020191791,10870,10969.41142,-99.4114245,0
16067,17271,14827,40,5888,1020,744.512,-79.908,-81.597,1.689,1.021136807,10796,10969.41142,-173.4114245,0
15655,16534,15832,52,3584,1021,748.776,-78.044,-81.687,3.643,1.046678797,10812,10969.41142,-157.4114245,0
16511,17102,16799,56,1536,1051,744.512,-79.88,-81.88,2,1.025037556,10772,10969.41142,-197.4114245,0
15616,16491,15972,44,3328,1020,748.776,-78.05,-81.697,3.647,1.046726457,10803,10969.41142,-166.4114245,0
16972,17724,15285,44,5632,1021,744.512,-79.929,-81.757,1.828,1.022870297,10823,10969.41142,-146.4114245,0
17715,18550,16081,60,4352,1051,748.768,-78.111,-81.907,3.796,1.048597509,10844,10969.41142,-125.4114245,0
17148,17814,10509,44,14848,1020,744.552,-79.971,-82.932,2.961,1.037025922,10803,10969.41142,-166.4114245,0
17762,18470,16957,48,19968,1021,749.84,-78.052,-81.852,3.8,1.048685492,10785,10969.41142,-184.4114245,0
17298,17460,14149,48,23808,1051,745.584,-79.953,-81.495,1.542,1.019286331,10790,10969.41142,-179.4114245,0
18278,18087,10026,56,48640,1021,746.68,-78.199,-81.073,2.874,1.036752388,10800,10969.41142,-169.4114245,0
18337,18261,10969,52,63488,1020,747.744,-78.184,-81.231,3.047,1.038972168,10770,10969.41142,-199.4114245,0
16231,17232,15084,48,5632,1021,744.512,-79.918,-81.629,1.711,1.021409445,10820,10969.41142,-149.4114245,0
16927,17176,14224,52,7168,1051,748.776,-78.139,-81.575,3.436,1.04397292,10794,10969.41142,-175.4114245,0
17153,16875,16163,40,20224,1020,745.584,-79.912,-81.591,1.679,1.021010612,10791,10969.41142,-178.4114245,0
17411,17882,15135,48,23040,1021,749.84,-78.138,-81.777,3.639,1.046571451,10831,10969.41142,-138.4114245,0
16120,17325,10556,48,30464,1051,745.608,-79.883,-82.711,2.828,1.035401775,10816,10969.41142,-153.4114245,0
17709,17975,14205,40,41216,1021,746.672,-78.129,-81.708,3.579,1.045808855,10856,10969.41142,-113.4114245,0
17634,18271,13512,60,58624,1020,747.736,-78.057,-81.587,3.53,1.045223362,10817,10969.41142,-152.4114245,0
17381,17898,15752,56,4608,1020,748.768,-78.233,-81.934,3.701,1.047307402,10815,10969.41142,-154.4114245,0
16275,16812,11959,52,11008,1021,744.552,-79.969,-81.154,1.185,1.014818242,10806,10969.41142,-163.4114245,0
16539,17005,16244,44,20224,1051,741.328,-79.96,-81.583,1.623,1.020297649,10781,10969.41142,-188.4114245,0
16966,16526,17467,44,32768,1020,746.64,-79.998,-81.785,1.787,1.022338058,10813,10969.41142,-156.4114245,0
17454,16341,11002,44,44800,1051,746.68,-79.906,-81.006,1.1,1.013766175,10772,10969.41142,-197.4114245,0
17982,18730,15966,44,5120,1021,748.768,-78.057,-81.843,3.786,1.048503017,10805,10969.41142,-164.4114245,0
17563,17790,11594,56,13056,1051,744.544,-79.82,-81.214,1.394,1.017464295,10862,10969.41142,-107.4114245,0
17570,17979,15650,56,21504,1020,749.832,-78.205,-81.934,3.729,1.047682373,10833,10969.41142,-136.4114245,0
17564,15230,8903,40,47616,1025,746.68,-79.893,-82.586,2.693,1.033707584,10775,10969.41142,-194.4114245,0
17568,18051,11815,48,45568,1051,746.672,-79.918,-81.329,1.411,1.017655597,10802,10969.41142,-167.4114245,0
17269,18003,13266,52,58368,1021,747.736,-79.964,-81.495,1.531,1.019146116,10860,10969.41142,-109.4114245,0
17296,18012,15289,52,6144,1021,744.52,-79.961,-81.773,1.812,1.022661047,10827,10969.41142,-142.4114245,0
17649,17981,11924,44,12544,1051,748.8,-78.12,-81.345,3.225,1.041282642,10841,10969.41142,-128.4114245,0
17258,18592,17594,52,16896,1020,745.576,-79.989,-81.923,1.934,1.024178325,10821,10969.41142,-148.4114245,0
17405,17929,16006,52,21248,1021,749.832,-78.11,-81.984,3.874,1.049596723,10823,10969.41142,-146.4114245,0
17555,18389,14649,48,23040,1051,745.584,-79.868,-81.573,1.705,1.021347724,10822,10969.41142,-147.4114245,0
18053,17611,11542,60,28928,1020,749.864,-78.097,-81.271,3.174,1.040641766,10840,10969.41142,-129.4114245,0
16793,18240,17058,44,33024,1021,746.64,-78.163,-80.011,1.848,1.0236429,10817,10969.41142,-152.4114245,0
16506,16779,12710,56,42496,1020,746.672,-78.133,-81.308,3.175,1.040635839,10806,10969.41142,-163.4114245,0
15750,16456,16087,44,52224,1051,747.712,-78.043,-81.67,3.627,1.04647438,10827,10969.41142,-142.4114245,0
17594,18110,11779,52,13056,1022,748.8,-79.992,-81.341,1.349,1.016864186,10872,10969.41142,-97.4114245,0
17728,18522,17023,56,2304,1051,744.52,-79.949,-81.866,1.917,1.023977786,10797,10969.41142,-172.4114245,0
17349,18018,17088,44,2304,1051,748.776,-78.063,-80.005,1.942,1.024877343,10833,10969.41142,-136.4114245,0
16836,16873,11439,48,12032,1020,744.552,-78.063,-81.142,3.079,1.039442502,10832,10969.41142,-137.4114245,0
17149,16722,17057,40,18432,1050,749.84,-79.93,-81.685,1.755,1.021956712,10839,10969.41142,-130.4114245,0
16693,17985,14929,48,19968,1051,745.584,-78.041,-81.733,3.692,1.047308466,10836,10969.41142,-133.4114245,0
17006,16684,14429,52,23040,1020,749.84,-79.936,-81.433,1.497,1.018727482,10853,10969.41142,-116.4114245,0
17057,17889,13194,40,25600,1050,745.608,-79.959,-81.485,1.526,1.019084781,10843,10969.41142,-126.4114245,0
15883,17323,9933,36,31744,1051,749.872,-79.877,-82.609,2.732,1.034202586,10856,10969.41142,-113.4114245,0
15463,16541,15681,56,36864,1021,746.64,-79.989,-81.562,1.573,1.019665204,10832,10969.41142,-137.4114245,0
16368,17383,14107,56,39680,1051,746.648,-78.022,-81.524,3.502,1.044884776,10854,10969.41142,-115.4114245,0
16375,17386,9896,52,48384,1022,746.68,-79.954,-82.66,2.706,1.033844461,10821,10969.41142,-148.4114245,0
16280,16515,11556,48,44032,1021,746.68,-79.953,-82.934,2.981,1.037284405,10803,10969.41142,-166.4114245,0
17724,17789,17919,48,49920,1052,747.704,-78.043,-81.917,3.874,1.049639301,10838,10969.41142,-131.4114245,0
17273,16826,17610,56,33536,1052,746.64,-79.967,-81.787,1.82,1.022759388,10837,10969.41142,-132.4114245,0
17770,18126,17711,44,18176,1051,745.576,-78.001,-81.855,3.854,1.049409623,10819,10969.41142,-150.4114245,0
17141,17944,16167,44,3840,1052,748.776,-78.193,-81.904,3.711,1.047459491,10815,10969.41142,-154.4114245,0
17130,17823,17817,44,49664,1051,747.704,-78.116,-80.183,2.067,1.026460648,10872,10969.41142,-97.4114245,0
16701,16609,14924,56,22528,1021,745.584,-78.037,-81.475,3.438,1.044056025,10769,10969.41142,-200.4114245,0
16794,16641,15091,48,5632,1052,740.256,-79.899,-81.431,1.532,1.019174207,10795,10969.41142,-174.4114245,0
15549,17003,13005,44,41984,1052,746.672,-79.82,-81.115,1.295,1.016224004,10789,10969.41142,-180.4114245,0
16136,17282,14023,44,23808,1021,749.84,-78.031,-81.513,3.482,1.044623291,10789,10969.41142,-180.4114245,0
16200,17326,13422,48,8704,1051,744.544,-79.857,-81.309,1.452,1.018182501,10793,10969.41142,-176.4114245,0
18110,17701,11206,48,29696,1051,745.608,-78.244,-81.32,3.076,1.039312919,10836,10969.41142,-133.4114245,0
16828,16669,15912,52,20736,1020,749.832,-79.846,-81.455,1.609,1.020151291,10798,10969.41142,-171.4114245,0
17593,17606,13911,40,8448,1021,744.544,-78.077,-81.605,3.528,1.045186162,10838,10969.41142,-131.4114245,0
15365,16899,14552,48,6144,1051,748.776,-79.864,-81.448,1.584,1.019833717,10789,10969.41142,-180.4114245,0
16687,16273,15483,44,4864,1020,744.512,-79.932,-81.474,1.542,1.019291398,10790,10969.41142,-179.4114245,0
15080,16741,13995,40,6912,1021,748.776,-79.855,-81.3,1.445,1.018095298,10808,10969.41142,-161.4114245,0
17029,17613,16043,44,3840,1051,744.52,-79.964,-81.711,1.747,1.021847331,10821,10969.41142,-148.4114245,0
17004,17952,13968,48,8448,1020,748.8,-78.001,-81.602,3.601,1.046166075,10814,10969.41142,-155.4114245,0
16707,17080,11786,48,11520,1021,744.552,-79.97,-81.176,1.206,1.015080655,10799,10969.41142,-170.4114245,0
15854,17448,14609,48,19968,1051,749.84,-78.049,-81.622,3.573,1.045778934,10808,10969.41142,-161.4114245,0
17735,17748,17326,60,34816,1020,746.648,-78.003,-81.877,3.874,1.049664756,10766,10969.41142,-203.4114245,0
15153,16581,14737,52,55040,1051,747.704,-79.784,-81.313,1.529,1.019164243,10818,10969.41142,-151.4114245,0
17170,18233,15298,56,4352,1020,744.512,-79.922,-81.699,1.777,1.022234178,10815,10969.41142,-154.4114245,0
16265,16980,15147,44,22016,1021,749.832,-78.058,-81.663,3.605,1.046183607,10855,10969.41142,-114.4114245,0
17198,17130,10044,36,31744,1051,745.616,-79.945,-81.021,1.076,1.013459253,10854,10969.41142,-115.4114245,0
15713,16672,15595,52,4096,1021,748.768,-79.969,-81.681,1.712,1.021408296,10868,10969.41142,-101.4114245,0
17187,18602,17969,48,16640,1051,745.576,-78.153,-80.066,1.913,1.024477627,10848,10969.41142,-121.4114245,0
15599,16693,13223,48,57856,1021,747.736,-79.927,-81.226,1.299,1.01625233,10790,10969.41142,-179.4114245,0
16091,17361,12561,40,10496,1051,744.552,-79.942,-81.194,1.252,1.015661354,10796,10969.41142,-173.4114245,0
16995,17173,11806,52,27904,1020,749.872,-79.852,-81.128,1.276,1.015979562,10840,10969.41142,-129.4114245,0
16313,16874,16513,56,52224,1021,747.712,-78.202,-81.984,3.782,1.048361934,10835,10969.41142,-134.4114245,0
