,channel,bitrate,preamble,prf,tx_gain,T_N,T_W,T_E,T_Floor,antennaTypeAnchor,antennaTypeTag,x_tag,y_tag,z_tag,x_anchor,y_anchor,z_anchor,anchorNumber,LOS,RXPACC,fpindex,pkindex,fp_ampl1,fp_ampl2,fp_ampl3,pkpathampl,std_noise,RX_power,FP_power,LDEthreshold,t1,t2,t3,t4,t5,timestamp,estimated_range,actual_range,error,location_ID,newlabel,newlabeli,fpi,loc_tag,NLOS
18,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46403.0,-,4226.0,1903.0,3725.0,-,80.0,-91.548,-109.13,-,-,-,-,-,-,1367405677.0,4527.0,4704.247761332304,-177,10,good,1,725,10-10,NLOS
19,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46818.0,-,1077.0,3779.0,2983.0,-,92.0,-91.723,-111.503,-,-,-,-,-,-,227873461.0,4499.0,4704.247761332304,-205,10,good,1,731,10-10,NLOS
20,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46145.0,-,3936.0,2424.0,4012.0,-,80.0,-91.545,-109.376,-,-,-,-,-,-,2127180127.0,4522.0,4704.247761332304,-182,10,good,1,721,10-10,NLOS
21,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46698.0,-,1506.0,3831.0,2741.0,-,100.0,-91.817,-111.53,-,-,-,-,-,-,3467404077.0,4499.0,4704.247761332304,-205,10,good,1,729,10-10,NLOS
22,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46660.0,-,3777.0,2630.0,3954.0,-,88.0,-91.843,-109.306,-,-,-,-,-,-,1434426730.0,4541.0,4704.247761332304,-163,10,good,1,729,10-10,NLOS
23,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46239.0,-,1144.0,3392.0,2737.0,-,88.0,-91.046,-112.71,-,-,-,-,-,-,4213135596.0,4480.0,4704.247761332304,-224,10,good,1,722,10-10,NLOS
24,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46379.0,-,1137.0,4228.0,3043.0,-,80.0,-91.808,-110.177,-,-,-,-,-,-,1729002630.0,4518.0,4704.247761332304,-186,10,good,1,724,10-10,NLOS
25,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1512.0,47140.0,-,1330.0,3691.0,2882.0,-,84.0,-91.45,-111.416,-,-,-,-,-,-,4142890370.0,4494.0,4704.247761332304,-210,10,good,1,736,10-10,NLOS
26,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1493.0,47188.0,-,1886.0,3666.0,3231.0,-,92.0,-91.847,-110.162,-,-,-,-,-,-,4000964400.0,4494.0,4704.247761332304,-210,10,good,1,737,10-10,NLOS
27,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,46239.0,-,1050.0,3547.0,2756.0,-,84.0,-91.078,-112.919,-,-,-,-,-,-,2328128236.0,4466.0,4704.247761332304,-238,10,good,1,722,10-10,NLOS
28,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1517.0,47110.0,-,3102.0,2789.0,3525.0,-,96.0,-91.573,-110.386,-,-,-,-,-,-,2868790171.0,4499.0,4704.247761332304,-205,10,good,1,736,10-10,NLOS
29,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,45987.0,-,1679.0,4280.0,3198.0,-,88.0,-91.43,-110.598,-,-,-,-,-,-,675810797.0,4466.0,4704.247761332304,-238,10,good,1,718,10-10,NLOS
30,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1516.0,46705.0,-,949.0,4219.0,2795.0,-,80.0,-91.652,-111.88,-,-,-,-,-,-,3991955753.0,4494.0,4704.247761332304,-210,10,good,1,729,10-10,NLOS
31,1,110,1536,64,default,-,-,-,-,spline,spline,13259,6100,1498,12324,1611,2549,10.0,-,1518.0,46606.0,-,2439.0,3447.0,3594.0,-,96.0,-91.961,-110.512,-,-,-,-,-,-,312471946.0,4504.0,4704.247761332304,-200,10,good,1,728,10-10,NLOS
