,real_rng,rng,rssi,fp_idx,fp_power,fp_amp1,fp_amp2,fp_amp3,std_noise,pacc_cnt,condition,location_from,location_to,msid,bias,rng_wo_bias,error,error_nobias,env
5474,4.092,4.18,-79.845,748,-83.791,2719,5684,4889,52,101,los,3edvl,3edvl,111,-0.040692276847809516,4.220692276847809,0.1286922768478096,0.08800000000000008,3edvl3edvl
5475,4.092,4.183,-79.535,751,-83.397,3318,5894,4888,48,101,los,3edvl,3edvl,111,-0.040635575289150516,4.22363557528915,0.1316355752891507,0.09100000000000019,3edvl3edvl
5477,4.092,4.182,-79.482,751,-83.382,4839,5797,3586,52,101,los,3edvl,3edvl,111,-0.04065447224417795,4.222654472244178,0.1306544722441787,0.09000000000000075,3edvl3edvl
5478,4.092,4.182,-79.936,745,-83.656,4675,5545,3608,56,101,los,3edvl,3edvl,111,-0.04065447224417795,4.222654472244178,0.1306544722441787,0.09000000000000075,3edvl3edvl
5482,4.092,4.186,-79.603,745,-83.294,4711,5919,3753,56,101,los,3edvl,3edvl,111,-0.04057890580256007,4.22657890580256,0.13457890580256038,0.0940000000000003,3edvl3edvl
5483,4.092,4.186,-79.734,746,-83.686,2341,5446,5479,56,101,los,3edvl,3edvl,111,-0.04057890580256007,4.22657890580256,0.13457890580256038,0.0940000000000003,3edvl3edvl
5484,4.092,4.187,-79.874,744,-83.752,4158,5760,3703,52,101,los,3edvl,3edvl,111,-0.04056002309745477,4.227560023097455,0.1355600230974554,0.09500000000000064,3edvl3edvl
5485,4.092,4.18,-79.565,750,-83.34,3812,5996,4481,44,101,los,3edvl,3edvl,111,-0.040692276847809516,4.220692276847809,0.1286922768478096,0.08800000000000008,3edvl3edvl
5486,4.092,4.188,-79.777,746,-83.543,2984,5621,5181,56,101,los,3edvl,3edvl,111,-0.040541143953028325,4.228541143953028,0.1365411439530284,0.09600000000000009,3edvl3edvl
5487,4.092,4.186,-79.995,745,-83.861,3433,5318,4746,52,101,los,3edvl,3edvl,111,-0.04057890580256007,4.22657890580256,0.13457890580256038,0.0940000000000003,3edvl3edvl
5538,2.033,2.251,-79.647,751,-86.338,1830,4445,3504,48,101,nlos,lz,lz,113,-0.08421900999488496,2.335219009994885,0.30221900999488494,0.21799999999999997,lzlz
5539,2.033,2.267,-79.914,749,-86.186,1970,4068,4027,44,101,nlos,lz,lz,113,-0.08380624097461986,2.3508062409746198,0.31780624097461985,0.23399999999999999,lzlz
5540,2.033,2.273,-79.668,746,-85.282,1379,4319,4957,44,101,nlos,lz,lz,113,-0.08365155290111392,2.356651552901114,0.32365155290111414,0.2400000000000002,lzlz
5543,2.033,2.273,-79.932,746,-85.501,2571,4875,3540,52,101,nlos,lz,lz,113,-0.08365155290111392,2.356651552901114,0.32365155290111414,0.2400000000000002,lzlz
5544,2.033,2.23,-79.962,746,-85.793,1128,4232,4575,44,101,nlos,lz,lz,113,-0.0847613154921758,2.314761315492176,0.28176131549217587,0.19700000000000006,lzlz
5545,2.033,2.233,-80.097,745,-85.989,2460,4259,3762,52,101,nlos,lz,lz,113,-0.0846838078203005,2.3176838078203006,0.28468380782030067,0.20000000000000018,lzlz
5548,2.033,2.222,-80.025,746,-85.968,3268,4510,2740,48,101,nlos,lz,lz,113,-0.0849680568231932,2.306968056823193,0.27396805682319325,0.18900000000000006,lzlz
5549,2.033,2.213,-79.984,749,-86.224,622,3797,4639,52,101,nlos,lz,lz,113,-0.08520073066760947,2.2982007306676095,0.26520073066760963,0.18000000000000016,lzlz
5552,2.033,2.251,-79.91,746,-85.9,972,4160,4570,48,101,nlos,lz,lz,113,-0.08421900999488496,2.335219009994885,0.30221900999488494,0.21799999999999997,lzlz
5553,2.033,2.238,-80.025,750,-84.483,4262,5110,3155,44,101,nlos,lz,lz,113,-0.08455465391104866,2.3225546539110486,0.28955465391104873,0.20500000000000007,lzlz
5554,2.033,2.23,-79.917,751,-84.151,4445,5318,3242,44,101,nlos,lz,lz,113,-0.0847613154921758,2.314761315492176,0.28176131549217587,0.19700000000000006,lzlz
5555,2.033,2.222,-80.078,746,-85.03,2375,4996,4150,40,101,nlos,lz,lz,113,-0.0849680568231932,2.306968056823193,0.27396805682319325,0.18900000000000006,lzlz
5556,2.033,2.263,-80.163,748,-85.053,3634,4896,3223,48,101,nlos,lz,lz,113,-0.08390939737630809,2.346909397376308,0.3139093973763081,0.22999999999999998,lzlz
5558,2.033,2.254,-80.186,749,-85.815,875,4268,4575,44,101,nlos,lz,lz,113,-0.08414158713374853,2.3381415871337485,0.3051415871337486,0.22100000000000009,lzlz
5559,2.033,2.25,-80.052,750,-85.223,1508,4732,4591,44,101,nlos,lz,lz,113,-0.0842448204656785,2.3342448204656785,0.3012448204656786,0.21700000000000008,lzlz
5561,2.033,2.242,-79.939,747,-85.095,2413,5008,4025,44,101,nlos,lz,lz,113,-0.08445135437589535,2.3264513543758953,0.2934513543758954,0.20900000000000007,lzlz
5563,2.033,2.233,-80.221,744,-84.877,2816,5138,3899,44,101,nlos,lz,lz,113,-0.0846838078203005,2.3176838078203006,0.28468380782030067,0.20000000000000018,lzlz
5564,2.033,2.241,-80.447,750,-85.947,2145,4581,3623,44,101,nlos,lz,lz,113,-0.08447717726041581,2.325477177260416,0.292477177260416,0.20800000000000018,lzlz
5565,2.033,2.242,-80.17,744,-84.845,2762,5203,3899,44,101,nlos,lz,lz,113,-0.08445135437589535,2.3264513543758953,0.2934513543758954,0.20900000000000007,lzlz
5566,2.033,2.229,-80.105,750,-84.493,3018,5318,4089,44,101,nlos,lz,lz,113,-0.08478715388652791,2.313787153886528,0.2807871538865281,0.19600000000000017,lzlz
5567,2.033,2.238,-79.98,750,-84.239,4021,5427,3427,44,101,nlos,lz,lz,113,-0.08455465391104866,2.3225546539110486,0.28955465391104873,0.20500000000000007,lzlz
5569,2.033,2.238,-80.194,746,-85.048,3162,4996,3559,44,101,nlos,lz,lz,113,-0.08455465391104866,2.3225546539110486,0.28955465391104873,0.20500000000000007,lzlz
5570,2.033,2.258,-80.194,749,-85.427,1997,4720,4168,44,101,nlos,lz,lz,113,-0.08403837690361726,2.3420383769036173,0.30903837690361735,0.2250000000000001,lzlz
5571,2.033,2.274,-80.003,744,-84.955,2771,5117,3846,48,101,nlos,lz,lz,113,-0.08362577708229679,2.357625777082297,0.3246257770822969,0.2410000000000001,lzlz
5572,2.033,2.23,-80.182,748,-84.867,4279,4852,2791,48,101,nlos,lz,lz,113,-0.0847613154921758,2.314761315492176,0.28176131549217587,0.19700000000000006,lzlz
5573,2.033,2.229,-80.535,744,-85.817,1668,4552,4048,44,101,nlos,lz,lz,113,-0.08478715388652791,2.313787153886528,0.2807871538865281,0.19600000000000017,lzlz
5576,2.033,2.229,-80.472,744,-85.771,2517,4572,3617,48,101,nlos,lz,lz,113,-0.08478715388652791,2.313787153886528,0.2807871538865281,0.19600000000000017,lzlz
5580,2.033,2.229,-80.163,750,-84.563,3006,5330,3975,44,101,nlos,lz,lz,113,-0.08478715388652791,2.313787153886528,0.2807871538865281,0.19600000000000017,lzlz
5581,2.033,2.213,-80.182,752,-85.286,903,4591,4815,44,101,nlos,lz,lz,113,-0.08520073066760947,2.2982007306676095,0.26520073066760963,0.18000000000000016,lzlz
5582,2.033,2.232,-80.472,749,-85.429,2103,4751,4077,48,101,nlos,lz,lz,113,-0.08470964245058532,2.3167096424505855,0.2837096424505856,0.1990000000000003,lzlz
5583,2.033,2.23,-80.113,747,-85.247,3652,4842,2950,48,101,nlos,lz,lz,113,-0.0847613154921758,2.314761315492176,0.28176131549217587,0.19700000000000006,lzlz
5584,2.033,2.232,-80.174,748,-84.779,2342,5145,4325,40,101,nlos,lz,lz,113,-0.08470964245058532,2.3167096424505855,0.2837096424505856,0.1990000000000003,lzlz
5635,5.581,5.586,-79.91,745,-84.436,3883,5328,3370,48,101,los,tiln,tiln,115,-0.017299673357436873,5.603299673357437,0.022299673357436767,0.004999999999999893,tilntiln
5636,5.581,5.592,-79.727,752,-84.536,3050,5370,3929,52,101,los,tiln,tiln,115,-0.017212121051826124,5.609212121051826,0.028212121051825356,0.010999999999999233,tilntiln
5637,5.581,5.602,-79.87,749,-84.449,4036,5240,3304,48,101,los,tiln,tiln,115,-0.017066407450248455,5.619066407450249,0.03806640745024836,0.020999999999999908,tilntiln
5638,5.581,5.616,-79.731,746,-84.686,2056,5242,4478,52,101,los,tiln,tiln,115,-0.016862841898472425,5.632862841898472,0.05186284189847168,0.034999999999999254,tilntiln
5639,5.581,5.61,-79.661,744,-84.582,3750,5238,3394,52,101,los,tiln,tiln,115,-0.016950022437543844,5.626950022437544,0.04595002243754376,0.028999999999999915,tilntiln
5640,5.581,5.607,-79.773,749,-84.525,2732,5383,4156,48,101,los,tiln,tiln,115,-0.01699364747865495,5.623993647478655,0.04299364747865475,0.0259999999999998,tilntiln
5641,5.581,5.616,-80.097,752,-85.123,2515,5067,3848,52,101,los,tiln,tiln,115,-0.016862841898472425,5.632862841898472,0.05186284189847168,0.034999999999999254,tilntiln
5642,5.581,5.616,-79.991,746,-85.67,2568,4729,3508,48,101,los,tiln,tiln,115,-0.016862841898472425,5.632862841898472,0.05186284189847168,0.034999999999999254,tilntiln
5643,5.581,5.614,-79.773,750,-84.38,3375,5430,3830,52,101,los,tiln,tiln,115,-0.01689189178109718,5.630891891781097,0.04989189178109665,0.032999999999999474,tilntiln
5644,5.581,5.62,-79.848,751,-84.647,2776,5315,4034,52,101,los,tiln,tiln,115,-0.016804773000322903,5.636804773000323,0.055804773000322605,0.0389999999999997,tilntiln
5645,5.581,5.594,-79.951,744,-84.938,3980,4916,2972,48,101,los,tiln,tiln,115,-0.017182957653655073,5.611182957653655,0.030182957653654974,0.0129999999999999,tilntiln
5646,5.581,5.59,-79.999,747,-85.755,361,4060,4884,52,101,los,tiln,tiln,115,-0.01724129479861869,5.6072412947986185,0.026241294798618142,0.008999999999999453,tilntiln
5647,5.581,5.596,-79.936,747,-85.664,924,4332,4659,52,101,los,tiln,tiln,115,-0.017153804599251643,5.613153804599252,0.03215380459925132,0.01499999999999968,tilntiln
5648,5.581,5.621,-79.951,747,-85.299,1677,4830,4337,44,101,los,tiln,tiln,115,-0.016790262202919237,5.63779026220292,0.05679026220291927,0.040000000000000036,tilntiln
5649,5.581,5.589,-80.093,750,-85.46,2996,4770,3403,48,101,los,tiln,tiln,115,-0.017255885554258832,5.606255885554259,0.02525588555425884,0.008000000000000007,tilntiln
5651,5.581,5.603,-79.658,752,-84.78,1376,5028,4845,48,101,los,tiln,tiln,115,-0.017051850296139648,5.620051850296139,0.039051850296139,0.021999999999999353,tilntiln
5653,5.581,5.59,-79.727,744,-84.587,3606,5232,3547,52,101,los,tiln,tiln,115,-0.01724129479861869,5.6072412947986185,0.026241294798618142,0.008999999999999453,tilntiln
5654,5.581,5.603,-79.984,746,-84.9,3530,5085,3310,48,101,los,tiln,tiln,115,-0.017051850296139648,5.620051850296139,0.039051850296139,0.021999999999999353,tilntiln
5655,5.581,5.602,-80.089,750,-85.5,2564,4825,3613,52,101,los,tiln,tiln,115,-0.017066407450248455,5.619066407450249,0.03806640745024836,0.020999999999999908,tilntiln
5656,5.581,5.595,-79.727,750,-84.383,3808,5351,3516,52,101,los,tiln,tiln,115,-0.01716837983378383,5.612168379833784,0.031168379833783177,0.013999999999999346,tilntiln
5657,5.581,5.613,-80.01,751,-84.683,3054,5304,3787,52,101,los,tiln,tiln,115,-0.01690642058290681,5.629906420582907,0.04890642058290684,0.03200000000000003,tilntiln
5658,5.581,5.599,-79.703,748,-84.666,1874,5223,4605,52,101,los,tiln,tiln,115,-0.01711009440162048,5.616110094401621,0.03511009440162027,0.017999999999999794,tilntiln
5659,5.581,5.599,-79.969,744,-84.824,4230,4887,2893,48,101,los,tiln,tiln,115,-0.01711009440162048,5.616110094401621,0.03511009440162027,0.017999999999999794,tilntiln
5660,5.581,5.606,-79.706,749,-84.286,4475,5245,3037,52,101,los,tiln,tiln,115,-0.01700819431438827,5.623008194314388,0.04200819431438774,0.024999999999999467,tilntiln
5661,5.581,5.595,-79.777,746,-84.777,3119,5213,3713,52,101,los,tiln,tiln,115,-0.01716837983378383,5.612168379833784,0.031168379833783177,0.013999999999999346,tilntiln
5662,5.581,5.614,-80.067,751,-85.22,3161,4936,3378,48,101,los,tiln,tiln,115,-0.01689189178109718,5.630891891781097,0.04989189178109665,0.032999999999999474,tilntiln
5663,5.581,5.606,-79.802,745,-84.564,3780,5236,3396,52,101,los,tiln,tiln,115,-0.01700819431438827,5.623008194314388,0.04200819431438774,0.024999999999999467,tilntiln
5664,5.581,5.575,-79.678,747,-84.324,4515,5159,3042,48,101,los,tiln,tiln,115,-0.0174604282513533,5.5924604282513535,0.011460428251353072,-0.006000000000000227,tilntiln
5665,5.581,5.602,-79.579,751,-84.35,4615,5084,2963,60,101,los,tiln,tiln,115,-0.017066407450248455,5.619066407450249,0.03806640745024836,0.020999999999999908,tilntiln
5666,5.581,5.59,-79.877,752,-84.925,1089,4806,4970,52,101,los,tiln,tiln,115,-0.01724129479861869,5.6072412947986185,0.026241294798618142,0.008999999999999453,tilntiln
5667,5.581,5.606,-79.603,748,-84.854,1319,4927,4876,56,101,los,tiln,tiln,115,-0.01700819431438827,5.623008194314388,0.04200819431438774,0.024999999999999467,tilntiln
5668,5.581,5.615,-79.929,752,-84.939,1867,5113,4382,52,101,los,tiln,tiln,115,-0.016877365553155776,5.631877365553156,0.050877365553155585,0.03399999999999981,tilntiln
5669,5.581,5.595,-80.067,748,-85.414,3475,4705,3092,48,101,los,tiln,tiln,115,-0.01716837983378383,5.612168379833784,0.031168379833783177,0.013999999999999346,tilntiln
5670,5.581,5.599,-79.991,745,-85.466,3450,4697,3048,52,101,los,tiln,tiln,115,-0.01711009440162048,5.616110094401621,0.03511009440162027,0.017999999999999794,tilntiln
5671,5.581,5.609,-79.988,746,-85.386,1911,4852,4106,44,101,los,tiln,tiln,115,-0.016964561540833145,5.625964561540833,0.044964561540832726,0.02799999999999958,tilntiln
5672,5.581,5.603,-79.738,745,-84.519,4153,5171,3131,52,101,los,tiln,tiln,115,-0.017051850296139648,5.620051850296139,0.039051850296139,0.021999999999999353,tilntiln
5674,5.581,5.623,-79.672,751,-84.843,1746,5080,4590,52,101,los,tiln,tiln,115,-0.016761248316468524,5.639761248316469,0.05876124831646834,0.041999999999999815,tilntiln
5675,5.581,5.616,-79.841,748,-84.829,1739,5107,4580,52,101,los,tiln,tiln,115,-0.016862841898472425,5.632862841898472,0.05186284189847168,0.034999999999999254,tilntiln
5676,5.581,5.614,-79.734,747,-84.729,1523,5129,4757,52,101,los,tiln,tiln,115,-0.01689189178109718,5.630891891781097,0.04989189178109665,0.032999999999999474,tilntiln
5677,5.581,5.623,-79.863,744,-84.561,2816,5376,4054,44,101,los,tiln,tiln,115,-0.016761248316468524,5.639761248316469,0.05876124831646834,0.041999999999999815,tilntiln
5678,5.581,5.588,-79.823,747,-85.173,3843,4827,2863,52,101,los,tiln,tiln,115,-0.017270478898872454,5.6052704788988725,0.024270478898872128,0.006999999999999673,tilntiln
5679,5.581,5.626,-79.809,750,-84.875,1438,4992,4750,48,101,los,tiln,tiln,115,-0.016717746748661888,5.642717746748662,0.06171774674866182,0.04499999999999993,tilntiln
5680,5.581,5.623,-79.802,746,-84.745,2260,5227,4316,52,101,los,tiln,tiln,115,-0.016761248316468524,5.639761248316469,0.05876124831646834,0.041999999999999815,tilntiln
5681,5.581,5.595,-79.802,752,-84.637,2941,5329,3911,48,101,los,tiln,tiln,115,-0.01716837983378383,5.612168379833784,0.031168379833783177,0.013999999999999346,tilntiln
5682,5.581,5.607,-79.914,752,-84.62,2383,5357,4263,52,101,los,tiln,tiln,115,-0.01699364747865495,5.623993647478655,0.04299364747865475,0.0259999999999998,tilntiln
5683,5.581,5.613,-80.025,746,-85.939,1411,4384,4193,52,101,los,tiln,tiln,115,-0.01690642058290681,5.629906420582907,0.04890642058290684,0.03200000000000003,tilntiln
5684,8.559,8.568,-80.206,744,-83.744,4789,5252,3712,40,101,los,wkst,wkst,116,0.0169318218736203,8.551068178126378,-0.007931821873620848,0.009000000000000341,wkstwkst
5685,8.559,8.557,-79.877,750,-83.367,3526,5499,5240,32,101,los,wkst,wkst,116,0.01683313094961303,8.540166869050388,-0.018833130949611032,-0.0019999999999988916,wkstwkst
5686,8.559,8.595,-79.969,746,-83.474,4211,5507,4513,36,101,los,wkst,wkst,116,0.017173367131683825,8.577826632868316,0.01882663286831665,0.036000000000001364,wkstwkst
5688,8.559,8.55,-79.759,748,-82.945,5214,5939,3850,36,101,los,wkst,wkst,116,0.016770241897141602,8.533229758102859,-0.025770241897140167,-0.008999999999998565,wkstwkst
5689,8.559,8.575,-80.116,749,-83.444,4323,5673,4246,36,101,los,wkst,wkst,116,0.016994539591403957,8.558005460408594,-0.0009945395914048305,0.016000000000000014,wkstwkst
5690,8.559,8.557,-79.724,750,-82.992,5130,5925,3878,36,101,los,wkst,wkst,116,0.01683313094961303,8.540166869050388,-0.018833130949611032,-0.0019999999999988916,wkstwkst
5691,8.559,8.575,-79.668,751,-82.947,4651,6051,4360,36,101,los,wkst,wkst,116,0.016994539591403957,8.558005460408594,-0.0009945395914048305,0.016000000000000014,wkstwkst
5692,8.559,8.548,-79.984,749,-83.552,4562,5662,3786,40,101,los,wkst,wkst,116,0.01675226133227259,8.531247738667727,-0.02775226133227271,-0.010999999999999233,wkstwkst
5693,8.559,8.55,-80.124,752,-83.729,3135,5460,4988,32,101,los,wkst,wkst,116,0.016770241897141602,8.533229758102859,-0.025770241897140167,-0.008999999999998565,wkstwkst
5695,8.559,8.566,-79.773,746,-83.067,4255,5830,4801,32,101,los,wkst,wkst,116,0.016913890304644852,8.549086109695356,-0.009913890304643402,0.0070000000000014495,wkstwkst
5697,8.559,8.562,-79.61,751,-82.97,4921,6018,4050,36,101,los,wkst,wkst,116,0.016878010858165204,8.545121989141833,-0.013878010858165979,0.0030000000000001137,wkstwkst
5698,8.559,8.57,-80.113,745,-83.528,3649,5585,4803,36,101,los,wkst,wkst,116,0.016949748009253973,8.553050251990747,-0.005949748009252076,0.011000000000001009,wkstwkst
5701,8.559,8.557,-79.98,751,-83.256,4184,5723,4656,32,101,los,wkst,wkst,116,0.01683313094961303,8.540166869050388,-0.018833130949611032,-0.0019999999999988916,wkstwkst
5702,8.559,8.568,-79.845,750,-82.885,3847,6143,5082,32,101,los,wkst,wkst,116,0.0169318218736203,8.551068178126378,-0.007931821873620848,0.009000000000000341,wkstwkst
5703,8.559,8.583,-79.877,747,-83.433,3545,5428,5200,36,101,los,wkst,wkst,116,0.017066135599794308,8.565933864400206,0.006933864400206602,0.02400000000000091,wkstwkst
5704,8.559,8.552,-79.823,745,-82.965,5119,5981,3868,36,101,los,wkst,wkst,116,0.01678821700949129,8.535211782990508,-0.023788217009490964,-0.006999999999999673,wkstwkst
5705,8.559,8.532,-79.83,750,-83.134,4968,5895,3817,36,101,los,wkst,wkst,116,0.016608220266028262,8.51539177973397,-0.0436082202660284,-0.026999999999999247,wkstwkst
5707,8.559,8.532,-79.845,746,-82.852,5014,6064,4129,32,101,los,wkst,wkst,116,0.016608220266028262,8.51539177973397,-0.0436082202660284,-0.026999999999999247,wkstwkst
5709,8.559,8.572,-79.685,745,-83.082,3976,5959,4855,32,101,los,wkst,wkst,116,0.016967668713668616,8.55503233128633,-0.003967668713668715,0.0129999999999999,wkstwkst
5711,8.559,8.557,-79.841,746,-82.872,4704,6066,4436,36,101,los,wkst,wkst,116,0.01683313094961303,8.540166869050388,-0.018833130949611032,-0.0019999999999988916,wkstwkst
5712,8.559,8.595,-79.999,746,-83.04,4258,5969,4674,36,101,los,wkst,wkst,116,0.017173367131683825,8.577826632868316,0.01882663286831665,0.036000000000001364,wkstwkst
5713,8.559,8.552,-79.699,746,-83.14,5245,5809,3555,32,101,los,wkst,wkst,116,0.01678821700949129,8.535211782990508,-0.023788217009490964,-0.006999999999999673,wkstwkst
5714,8.559,8.562,-79.727,744,-83.006,4707,5932,4344,36,101,los,wkst,wkst,116,0.016878010858165204,8.545121989141833,-0.013878010858165979,0.0030000000000001137,wkstwkst
5716,8.559,8.54,-79.917,750,-82.929,3316,5930,5604,36,101,los,wkst,wkst,116,0.016680284504857923,8.523319715495141,-0.03568028450485805,-0.019000000000000128,wkstwkst
5717,8.559,8.538,-79.859,747,-82.988,3256,5884,5594,36,101,los,wkst,wkst,116,0.01666227664532549,8.521337723354675,-0.03766227664532451,-0.02099999999999902,wkstwkst
5718,8.559,8.554,-79.819,748,-82.926,4145,5987,4960,36,101,los,wkst,wkst,116,0.016806186671460388,8.537193813328539,-0.02180618667146028,-0.004999999999999005,wkstwkst
5719,8.559,8.566,-79.752,751,-83.307,5557,5503,3153,36,101,los,wkst,wkst,116,0.016913890304644852,8.549086109695356,-0.009913890304643402,0.0070000000000014495,wkstwkst
5720,8.559,8.559,-79.816,744,-83.096,5295,5838,3540,36,101,los,wkst,wkst,116,0.01685108699495519,8.542148913005043,-0.016851086994956077,0.0,wkstwkst
5721,8.559,8.583,-79.752,746,-83.31,3201,5567,5461,36,101,los,wkst,wkst,116,0.017066135599794308,8.565933864400206,0.006933864400206602,0.02400000000000091,wkstwkst
5722,8.559,8.572,-79.812,747,-83.397,3437,5450,5304,36,101,los,wkst,wkst,116,0.016967668713668616,8.55503233128633,-0.003967668713668715,0.0129999999999999,wkstwkst
5723,8.559,8.559,-79.903,750,-83.213,5562,5599,3221,36,101,los,wkst,wkst,116,0.01685108699495519,8.542148913005043,-0.016851086994956077,0.0,wkstwkst
5724,8.559,8.554,-80.067,750,-83.179,3878,5926,4804,40,101,los,wkst,wkst,116,0.016806186671460388,8.537193813328539,-0.02180618667146028,-0.004999999999999005,wkstwkst
5725,8.559,8.548,-79.791,746,-83.105,5230,5799,3676,36,101,los,wkst,wkst,116,0.01675226133227259,8.531247738667727,-0.02775226133227271,-0.010999999999999233,wkstwkst
5726,8.559,8.559,-79.748,747,-83.135,5605,5627,3301,40,101,los,wkst,wkst,116,0.01685108699495519,8.542148913005043,-0.016851086994956077,0.0,wkstwkst
5727,8.559,8.575,-80.059,746,-83.796,3098,5226,5160,36,101,los,wkst,wkst,116,0.016994539591403957,8.558005460408594,-0.0009945395914048305,0.016000000000000014,wkstwkst
5728,8.559,8.552,-79.848,751,-83.382,4631,5816,3822,40,101,los,wkst,wkst,116,0.01678821700949129,8.535211782990508,-0.023788217009490964,-0.006999999999999673,wkstwkst
5730,8.559,8.54,-80.143,745,-83.687,4726,5395,3703,36,101,los,wkst,wkst,116,0.016680284504857923,8.523319715495141,-0.03568028450485805,-0.019000000000000128,wkstwkst
5732,8.559,8.57,-80.018,744,-83.62,3892,5392,4684,36,101,los,wkst,wkst,116,0.016949748009253973,8.553050251990747,-0.005949748009252076,0.011000000000001009,wkstwkst
5733,10.604,10.936,-90.319,741,-99.78,45,919,869,24,101,nlos,1078ieeg,hw,117,0.03485891623169657,10.901141083768303,0.29714108376830417,0.33200000000000074,1078ieeghw
5734,10.604,10.901,-89.933,748,-99.75,147,894,890,28,101,nlos,1078ieeg,hw,117,0.034635709609764476,10.866364290390235,0.2623642903902361,0.2970000000000006,1078ieeghw
5737,10.604,10.921,-90.046,741,-99.923,640,557,911,24,101,nlos,1078ieeg,hw,117,0.03476338951452451,10.886236610485476,0.28223661048547655,0.31700000000000017,1078ieeghw
5740,10.604,10.911,-90.524,746,-99.832,448,946,698,24,101,nlos,1078ieeg,hw,117,0.03469959404513556,10.876300405954865,0.2723004059548657,0.3070000000000004,1078ieeghw
5741,10.604,10.907,-90.084,744,-99.326,391,787,1003,20,101,nlos,1078ieeg,hw,117,0.03467405095522391,10.872325949044775,0.268325949044776,0.3030000000000008,1078ieeghw
5742,10.604,10.905,-92.329,719,-99.728,299,812,934,20,101,nlos,1078ieeg,hw,117,0.03466127406933772,10.870338725930662,0.26633872593066243,0.30100000000000016,1078ieeghw
5743,10.604,10.905,-90.64,744,-99.912,146,916,676,24,93,nlos,1078ieeg,hw,117,0.03466127406933772,10.870338725930662,0.26633872593066243,0.30100000000000016,1078ieeghw
5744,10.604,10.906,-90.123,746,-99.768,551,598,972,20,101,nlos,1078ieeg,hw,117,0.03466766295748158,10.871332337042519,0.2673323370425198,0.3020000000000014,1078ieeghw
5747,10.604,10.923,-90.046,746,-100.652,256,909,647,20,101,nlos,1078ieeg,hw,117,0.03477613794553758,10.888223862054463,0.28422386205446415,0.31900000000000084,1078ieeghw
5748,10.604,10.914,-90.524,743,-99.96,63,914,835,20,101,nlos,1078ieeg,hw,117,0.03471874202062519,10.879281257979375,0.2752812579793762,0.3100000000000005,1078ieeghw
5749,10.604,10.901,-89.58,743,-99.347,542,1010,675,24,101,nlos,1078ieeg,hw,117,0.034635709609764476,10.866364290390235,0.2623642903902361,0.2970000000000006,1078ieeghw
5751,10.604,10.933,-90.319,745,-100.223,36,879,820,24,101,nlos,1078ieeg,hw,117,0.03483982685147158,10.89816017314853,0.29416017314852994,0.3290000000000006,1078ieeghw
5752,10.604,10.907,-90.319,744,-99.943,351,967,696,24,101,nlos,1078ieeg,hw,117,0.03467405095522391,10.872325949044775,0.268325949044776,0.3030000000000008,1078ieeghw
5753,10.604,10.94,-90.439,742,-99.789,223,850,909,24,101,nlos,1078ieeg,hw,117,0.034884356335941114,10.905115643664058,0.3011156436640583,0.3360000000000003,1078ieeghw
5755,10.604,10.907,-89.753,744,-99.634,224,1009,767,20,101,nlos,1078ieeg,hw,117,0.03467405095522391,10.872325949044775,0.268325949044776,0.3030000000000008,1078ieeghw
5756,10.604,10.93,-90.61,746,-99.863,70,895,875,20,101,nlos,1078ieeg,hw,117,0.034820729493631575,10.895179270506368,0.29117927050636894,0.3260000000000005,1078ieeghw
5757,10.604,10.94,-90.159,746,-99.738,555,978,594,24,101,nlos,1078ieeg,hw,117,0.034884356335941114,10.905115643664058,0.3011156436640583,0.3360000000000003,1078ieeghw
5759,10.604,10.911,-91.624,724,-99.638,117,975,831,24,101,nlos,1078ieeg,hw,117,0.03469959404513556,10.876300405954865,0.2723004059548657,0.3070000000000004,1078ieeghw
5760,10.604,10.935,-90.278,746,-100.418,83,885,770,24,101,nlos,1078ieeg,hw,117,0.0348525539911142,10.900147446008887,0.296147446008888,0.3310000000000013,1078ieeghw
5763,10.604,10.933,-89.861,745,-100.647,67,838,778,20,101,nlos,1078ieeg,hw,117,0.03483982685147158,10.89816017314853,0.29416017314852994,0.3290000000000006,1078ieeghw
5764,10.604,10.929,-90.567,747,-100.38,29,890,776,20,101,nlos,1078ieeg,hw,117,0.034814361934190075,10.89418563806581,0.290185638065811,0.32500000000000107,1078ieeghw
5765,10.604,10.923,-90.046,739,-100.279,68,886,799,20,101,nlos,1078ieeg,hw,117,0.03477613794553758,10.888223862054463,0.28422386205446415,0.31900000000000084,1078ieeghw
5766,10.604,10.907,-89.861,744,-99.086,584,1052,657,20,101,nlos,1078ieeg,hw,117,0.03467405095522391,10.872325949044775,0.268325949044776,0.3030000000000008,1078ieeghw
5767,10.604,10.896,-90.123,746,-100.434,551,884,541,28,101,nlos,1078ieeg,hw,117,0.03460373398338934,10.861396266016612,0.25739626601661314,0.2920000000000016,1078ieeghw
5768,10.604,10.92,-90.36,745,-99.606,269,817,963,24,101,nlos,1078ieeg,hw,117,0.03475701396682229,10.885242986033177,0.28124298603317754,0.3160000000000007,1078ieeghw
5769,10.604,10.911,-90.59,749,-99.257,70,920,825,24,93,nlos,1078ieeg,hw,117,0.03469959404513556,10.876300405954865,0.2723004059548657,0.3070000000000004,1078ieeghw
5770,10.604,10.929,-91.462,720,-100.271,145,840,839,20,101,nlos,1078ieeg,hw,117,0.034814361934190075,10.89418563806581,0.290185638065811,0.32500000000000107,1078ieeghw
