,real_rng,rng,rssi,fp_idx,fp_power,fp_amp1,fp_amp2,fp_amp3,std_noise,pacc_cnt,condition,location_from,location_to,msid,bias,rng_wo_bias,error,error_nobias,env
117,2.707,2.619,-79.682,744,-84.611,3114,5196,3996,52,101,los,3edvl,3edvl,2,-0.07487037117675932,2.6938703711767595,-0.013129628823240314,-0.08799999999999963,3edvl3edvl
118,2.707,2.62,-79.406,751,-84.417,3655,5227,3793,52,101,los,3edvl,3edvl,2,-0.0748454883609444,2.6948454883609445,-0.012154511639055343,-0.08699999999999974,3edvl3edvl
120,2.707,2.616,-79.579,745,-84.357,4412,5156,3127,40,101,los,3edvl,3edvl,2,-0.07494503940843167,2.6909450394084318,-0.01605496059156808,-0.09099999999999975,3edvl3edvl
121,2.707,2.624,-79.505,748,-84.757,2234,5049,4521,48,101,los,3edvl,3edvl,2,-0.07474599014914052,2.6987459901491406,-0.008254009850859223,-0.08299999999999974,3edvl3edvl
125,2.707,2.627,-79.823,747,-84.817,3013,5106,3883,52,101,los,3edvl,3edvl,2,-0.07467140127531557,2.7016714012753154,-0.005328598724684497,-0.08000000000000007,3edvl3edvl
128,2.707,2.627,-79.899,746,-85.357,2488,4821,3862,52,101,los,3edvl,3edvl,2,-0.07467140127531557,2.7016714012753154,-0.005328598724684497,-0.08000000000000007,3edvl3edvl
129,2.707,2.618,-79.575,746,-84.786,1894,4952,4741,44,101,los,3edvl,3edvl,2,-0.07489525729190127,2.692895257291901,-0.014104742708098694,-0.08899999999999997,3edvl3edvl
130,2.707,2.623,-79.809,747,-84.856,4181,4887,2899,48,101,los,3edvl,3edvl,2,-0.07477085973856923,2.6977708597385694,-0.009229140261430402,-0.08399999999999963,3edvl3edvl
131,2.707,2.62,-79.623,751,-84.309,4113,5246,3467,48,101,los,3edvl,3edvl,2,-0.0748454883609444,2.6948454883609445,-0.012154511639055343,-0.08699999999999974,3edvl3edvl
132,2.707,2.616,-80.003,746,-85.133,4113,4633,2883,48,101,los,3edvl,3edvl,2,-0.07494503940843167,2.6909450394084318,-0.01605496059156808,-0.09099999999999975,3edvl3edvl
136,2.707,2.621,-79.965,751,-84.934,3779,4883,3281,52,101,los,3edvl,3edvl,2,-0.07482060884736974,2.6958206088473697,-0.011179391152630114,-0.08599999999999985,3edvl3edvl
137,2.707,2.623,-79.83,750,-84.893,2516,5065,4167,48,101,los,3edvl,3edvl,2,-0.07477085973856923,2.6977708597385694,-0.009229140261430402,-0.08399999999999963,3edvl3edvl
138,2.707,2.619,-79.78,744,-84.604,4480,4938,2880,48,101,los,3edvl,3edvl,2,-0.07487037117675932,2.6938703711767595,-0.013129628823240314,-0.08799999999999963,3edvl3edvl
139,2.707,2.621,-80.052,750,-85.258,4393,4406,2581,44,101,los,3edvl,3edvl,2,-0.07482060884736974,2.6958206088473697,-0.011179391152630114,-0.08599999999999985,3edvl3edvl
141,2.707,2.62,-79.759,746,-85.044,1356,4782,4792,48,101,los,3edvl,3edvl,2,-0.0748454883609444,2.6948454883609445,-0.012154511639055343,-0.08699999999999974,3edvl3edvl
144,2.707,2.624,-79.682,745,-84.87,1372,4902,4868,44,101,los,3edvl,3edvl,2,-0.07474599014914052,2.6987459901491406,-0.008254009850859223,-0.08299999999999974,3edvl3edvl
146,2.707,2.623,-79.741,745,-85.155,1681,4854,4481,44,101,los,3edvl,3edvl,2,-0.07477085973856923,2.6977708597385694,-0.009229140261430402,-0.08399999999999963,3edvl3edvl
147,7.621,9.35,-80.552,742,-99.3,801,903,576,32,101,nlos,1_hw,hw,3,0.023546802582487203,9.326453197417512,1.705453197417512,1.7289999999999992,1_hwhw
148,7.621,8.593,-80.166,742,-99.207,717,937,660,36,101,nlos,1_hw,hw,3,0.017155508733897484,8.575844491266103,0.9548444912661029,0.9719999999999995,1_hwhw
149,7.621,8.6,-80.198,753,-81.539,5939,6559,5343,36,101,nlos,1_hw,hw,3,0.017217989484980656,8.582782010515018,0.9617820105150177,0.9789999999999992,1_hwhw
150,7.621,8.663,-80.638,745,-99.665,823,851,493,32,101,nlos,1_hw,hw,3,0.01777735058042218,8.645222649419578,1.0242226494195776,1.0419999999999998,1_hwhw
156,7.621,9.356,-80.783,743,-98.819,816,935,677,32,101,nlos,1_hw,hw,3,0.02359465038508546,9.332405349614914,1.711405349614914,1.7349999999999994,1_hwhw
158,7.621,8.595,-80.297,740,-98.741,923,911,594,36,101,nlos,1_hw,hw,3,0.017173367131683825,8.577826632868316,0.9568266328683155,0.9740000000000002,1_hwhw
159,7.621,9.337,-80.178,741,-98.433,747,924,879,32,101,nlos,1_hw,hw,3,0.02344298772448461,9.313557012275515,1.6925570122755147,1.7159999999999993,1_hwhw
163,7.621,8.591,-80.194,741,-99.227,877,835,594,32,101,nlos,1_hw,hw,3,0.017137644929247742,8.573862355070752,0.9528623550707511,0.9699999999999989,1_hwhw
166,7.621,8.602,-80.186,742,-98.682,785,958,727,32,101,nlos,1_hw,hw,3,0.017235828975371348,8.584764171024629,0.9637641710246285,0.9809999999999999,1_hwhw
168,7.621,8.602,-80.447,751,-81.869,5529,6352,5301,40,101,nlos,1_hw,hw,3,0.017235828975371348,8.584764171024629,0.9637641710246285,0.9809999999999999,1_hwhw
172,7.621,8.593,-80.206,744,-98.544,739,924,854,32,101,nlos,1_hw,hw,3,0.017155508733897484,8.575844491266103,0.9548444912661029,0.9719999999999995,1_hwhw
173,7.621,8.622,-80.419,741,-98.561,781,989,730,36,101,nlos,1_hw,hw,3,0.017413927370993676,8.604586072629006,0.9835860726290058,1.0009999999999994,1_hwhw
179,7.621,8.597,-80.365,746,-99.15,875,855,596,32,101,nlos,1_hw,hw,3,0.017191220124718853,8.57980877987528,0.9588087798752802,0.9759999999999991,1_hwhw
180,7.621,9.335,-80.245,739,-98.88,859,936,597,36,101,nlos,1_hw,hw,3,0.023426998620011297,9.31157300137999,1.69057300137999,1.7140000000000004,1_hwhw
184,7.621,9.346,-80.353,743,-99.116,921,867,516,36,101,nlos,1_hw,hw,3,0.023514880640350455,9.32248511935965,1.7014851193596492,1.7249999999999996,1_hwhw
185,7.621,8.595,-80.269,741,-98.756,914,911,602,32,101,nlos,1_hw,hw,3,0.017173367131683825,8.577826632868316,0.9568266328683155,0.9740000000000002,1_hwhw
186,7.621,9.335,-80.214,742,-99.112,714,943,685,36,101,nlos,1_hw,hw,3,0.023426998620011297,9.31157300137999,1.69057300137999,1.7140000000000004,1_hwhw
187,7.621,8.6,-80.377,742,-99.583,710,903,597,28,101,nlos,1_hw,hw,3,0.017217989484980656,8.582782010515018,0.9617820105150177,0.9789999999999992,1_hwhw
193,7.621,8.636,-80.101,747,-98.993,832,874,681,28,101,nlos,1_hw,hw,3,0.01753827622929993,8.6184617237707,0.9974617237706997,1.0149999999999988,1_hwhw
195,7.621,8.624,-80.431,748,-98.486,878,963,678,32,101,nlos,1_hw,hw,3,0.017431707605948255,8.606568292394051,0.985568292394051,1.0030000000000001,1_hwhw
198,3.765,4.106,-84.408,744,-95.03,1436,1077,1249,24,101,nlos,1078ieeg,1078ieeg,4,-0.042101122482925746,4.148101122482926,0.3831011224829255,0.34099999999999975,1078ieeg1078ieeg
199,3.765,4.092,-84.347,743,-95.798,917,1377,1127,24,101,nlos,1078ieeg,1078ieeg,4,-0.04236988116503326,4.134369881165033,0.3693698811650328,0.3269999999999995,1078ieeg1078ieeg
202,3.765,4.092,-84.276,748,-94.727,1517,1015,1340,24,101,nlos,1078ieeg,1078ieeg,4,-0.04236988116503326,4.134369881165033,0.3693698811650328,0.3269999999999995,1078ieeg1078ieeg
205,3.765,4.101,-84.227,744,-96.025,939,1340,1061,24,101,nlos,1078ieeg,1078ieeg,4,-0.042197026205677446,4.143197026205677,0.3781970262056773,0.33599999999999985,1078ieeg1078ieeg
208,3.765,4.108,-84.46,747,-94.99,1296,1122,1374,24,101,nlos,1078ieeg,1078ieeg,4,-0.04206278632942695,4.150062786329427,0.3850627863294265,0.3429999999999995,1078ieeg1078ieeg
211,3.765,4.115,-84.502,747,-96.48,866,1343,933,32,101,nlos,1078ieeg,1078ieeg,4,-0.0419287236981285,4.156928723698129,0.3919287236981286,0.3500000000000001,1078ieeg1078ieeg
212,3.765,4.108,-84.307,745,-95.569,980,1345,1206,24,101,nlos,1078ieeg,1078ieeg,4,-0.04206278632942695,4.150062786329427,0.3850627863294265,0.3429999999999995,1078ieeg1078ieeg
215,3.765,4.108,-84.398,747,-94.939,1291,1212,1322,24,101,nlos,1078ieeg,1078ieeg,4,-0.04206278632942695,4.150062786329427,0.3850627863294265,0.3429999999999995,1078ieeg1078ieeg
218,3.765,4.124,-84.398,746,-94.519,1644,977,1312,20,101,nlos,1078ieeg,1078ieeg,4,-0.04175661750745174,4.165756617507451,0.4007566175074513,0.35899999999999954,1078ieeg1078ieeg
220,3.765,4.115,-84.429,749,-95.518,1059,1323,1184,28,101,nlos,1078ieeg,1078ieeg,4,-0.0419287236981285,4.156928723698129,0.3919287236981286,0.3500000000000001,1078ieeg1078ieeg
227,3.765,4.077,-84.297,742,-96.354,854,1344,995,24,101,nlos,1078ieeg,1078ieeg,4,-0.04265862616048732,4.119658626160487,0.35465862616048716,0.31199999999999983,1078ieeg1078ieeg
228,3.765,4.092,-84.653,742,-96.094,887,1397,1002,24,101,nlos,1078ieeg,1078ieeg,4,-0.04236988116503326,4.134369881165033,0.3693698811650328,0.3269999999999995,1078ieeg1078ieeg
230,3.765,4.115,-84.419,748,-96.595,971,1339,774,20,101,nlos,1078ieeg,1078ieeg,4,-0.0419287236981285,4.156928723698129,0.3919287236981286,0.3500000000000001,1078ieeg1078ieeg
233,3.765,4.106,-84.316,746,-95.586,1057,1302,1181,28,101,nlos,1078ieeg,1078ieeg,4,-0.042101122482925746,4.148101122482926,0.3831011224829255,0.34099999999999975,1078ieeg1078ieeg
237,3.765,4.124,-84.429,743,-95.365,1328,1125,1182,24,101,nlos,1078ieeg,1078ieeg,4,-0.04175661750745174,4.165756617507451,0.4007566175074513,0.35899999999999954,1078ieeg1078ieeg
238,3.765,4.077,-84.429,743,-95.56,1139,1165,1256,24,101,nlos,1078ieeg,1078ieeg,4,-0.04265862616048732,4.119658626160487,0.35465862616048716,0.31199999999999983,1078ieeg1078ieeg
242,3.765,4.101,-84.247,750,-94.198,1621,1121,1381,20,101,nlos,1078ieeg,1078ieeg,4,-0.042197026205677446,4.143197026205677,0.3781970262056773,0.33599999999999985,1078ieeg1078ieeg
246,9.5,10.796,-82.623,745,-94.955,1530,1375,796,24,101,nlos,1_hw,1_hw,5,0.03395951411625209,10.762040485883748,1.2620404858837482,1.2959999999999994,1_hw1_hw
250,9.5,10.801,-82.892,748,-94.406,1519,1458,1043,24,101,nlos,1_hw,1_hw,5,0.033991939253255055,10.767008060746745,1.267008060746745,1.3010000000000002,1_hw1_hw
251,9.5,10.816,-82.658,746,-94.985,1509,1358,843,28,101,nlos,1_hw,1_hw,5,0.034089078810118245,10.781910921189883,1.2819109211898834,1.3160000000000007,1_hw1_hw
253,9.5,10.812,-81.653,745,-95.296,1334,1366,923,24,101,nlos,1_hw,1_hw,5,0.03406319483571707,10.777936805164282,1.2779368051642823,1.3119999999999994,1_hw1_hw
254,9.5,10.832,-81.906,743,-95.547,1286,1323,917,28,101,nlos,1_hw,1_hw,5,0.03419247017743565,10.797807529822565,1.297807529822565,1.3320000000000007,1_hw1_hw
255,9.5,10.792,-81.714,745,-96.072,1436,1150,614,28,101,nlos,1_hw,1_hw,5,0.03393355768221795,10.758066442317782,1.2580664423177819,1.2919999999999998,1_hw1_hw
256,9.5,10.771,-82.741,748,-94.174,1350,1542,1274,28,101,nlos,1_hw,1_hw,5,0.03379704793813065,10.737202952061871,1.237202952061871,1.2710000000000008,1_hw1_hw
257,9.5,10.531,-82.43,748,-95.345,1519,1238,779,24,101,nlos,1_hw,1_hw,5,0.03220805506772262,10.498791944932279,0.9987919449322789,1.0310000000000006,1_hw1_hw
259,9.5,10.293,-82.244,740,-108.067,130,399,248,24,101,nlos,1_hw,1_hw,5,0.030578338548616024,10.262421661451384,0.7624216614513841,0.7929999999999993,1_hw1_hw
260,9.5,10.807,-82.449,741,-108.216,72,403,249,24,101,nlos,1_hw,1_hw,5,0.034030819514680566,10.772969180485319,1.272969180485319,1.3070000000000004,1_hw1_hw
