,slot_ID_tag,model_tag,revision_tag,anchor_ID_tag,NPM_tag,RMoteclk_tag,Attenuation_tag,channel,bitrate,preamble,prf,distance_tag,txpower_tag,anchor_tag,antenna_delay_tag,fpindex_tag,ldethres_tag,rxtofs_tag,rxpower_tag,fppower_tag,ppampl_tag,ppindex_tag,rxpacc_tag,rxpacc_nosat_tag,fp_ampl1_tag,fp_ampl2_tag,fp_ampl3_tag,CIR_pwr_tag,CIR_noise_tag,rsmpdel_tag,rcphase_tag,DRX_CAR_INT_tag,OTP_temp_cal_tag,otp_temp_23_tag,sar_temp_l_tag,sar_bat_l_tag,pgdelaycount_tag,pgdelay_tag,LDE_RX_ANT_tag,RAWT1,RAWT4,RAWT5,T1,slot_ID_anchor,model_anchor,revision_anchor,anchor_ID_anchor,NPM_anchor,RMoteclk_anchor,Attenuation_anchor,distance_anchor,txpower_anchor,anchor_anchor,antenna_delay_anchor,fpindex_anchor,ldethres_anchor,rxtofs_anchor,rxpower_anchor,fppower_anchor,ppampl_anchor,ppindex_anchor,rxpacc_anchor,rxpacc_nosat_anchor,fp_ampl1_anchor,fp_ampl2_anchor,fp_ampl3_anchor,CIR_pwr_anchor,CIR_noise_anchor,rsmpdel_anchor,rcphase_anchor,DRX_CAR_INT_anchor,OTP_temp_cal_anchor,otp_temp_23_anchor,sar_temp_l_anchor,sar_bat_l_anchor,pgdelaycount_anchor,pgdelay_anchor,LDE_RX_ANT_anchor,RAWT2,RAWT3,RAWT6,T2,T3,T4,T5,T6,location_ID,loc_tag,fpi,tag_ID,anchor_ID,distance_UWB,distance_GT,error,NLOS
1,19248,3,0,3,"6d,",1044051,0,3,110,1024,64,,8b8b8b8b,,,747.704,1596,4.50554795152559e-06,-79.94800000000001,-81.873,49152,23046,291,1048,17442,18524,18109,49152,48,35,8,44122,255,128,126,177,0,16,8890,57055220224,70248538624,70601654784,57055236684,19031,3,0,3,"6d,",1046821,,10786,8b8b8b8b,1,16460,750.8960000000001,1572.0,-4.65573288324311e-06,-79.87899999999999,-81.726,38656.0,21510.0,288.0,1031.0,18066.0,18806.0,15606.0,11566.0,44.0,25.0,36.0,86511.0,255.0,124.0,123.0,166.0,272.0,16.0,37563,56459576320.0,69652765696,70005948416,56459561043,69652782156,70248523212,70601671244,70005933158,1,1-3,747,1,3,10786,10969.411424502228,-183.41142450222833,LOS
3,19250,3,0,3,"6d,",1044160,0,3,110,1024,64,,8b8b8b8b,,,745.584,1424,4.5656219242126e-06,-79.90100000000001,-81.777,18432,20229,267,1051,15902,16878,16291,18432,40,37,13,44208,255,128,126,177,0,16,7866,111588328960,124765225984,125134761472,111588345420,19033,3,0,3,"6d,",1046930,,10801,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,110992433664,,124169201664,124538804224,110992418453,124169218124,124765210468,125134777932,124538788488,1,1-3,745,1,3,10801,10969.411424502228,-168.41142450222833,LOS
4,19251,3,0,3,"6d,",1044215,0,3,110,1024,64,,8b8b8b8b,,,748.8,1500,4.535584937869091e-06,-79.997,-82.899,12288,21253,269,1020,15693,17078,11315,12288,48,35,59,44263,255,128,126,177,0,16,19899,138854880256,152031843840,152401314816,138854896716,19034,3,0,3,"6d,",1046985,,10780,8b8b8b8b,1,16460,747.712,1432.0,-4.47551096518209e-06,-79.623,-81.217,55808.0,19205.0,270.0,1026.0,15518.0,17164.0,13655.0,9585.0,40.0,25.0,50.0,86486.0,255.0,124.0,123.0,166.0,272.0,16.0,40634,138258859520.0,151435694080,151805231616,138258844054,151435710540,152031828540,152401331276,151805216168,1,1-3,748,1,3,10780,10969.411424502228,-189.41142450222833,LOS
5,19252,3,0,3,"6d,",1044269,0,3,110,1024,64,,8b8b8b8b,,,744.52,1600,4.535584937869091e-06,-79.869,-81.51899999999999,7936,22534,279,1050,17418,18170,13887,7936,52,37,10,44111,255,128,126,177,0,16,2746,166121435136,179298268160,179667868160,166121451596,19035,3,0,3,"6d,",1047039,,10855,8b8b8b8b,1,16460,743.48,1424.0,-4.50554795152559e-06,-79.794,-81.381,57344.0,20741.0,271.0,1028.0,17016.0,16872.0,13457.0,10043.0,40.0,27.0,41.0,86615.0,255.0,124.0,123.0,166.0,272.0,16.0,30905,165525288960.0,178701992448,179071659520,165525273260,178702008908,179298252603,179667884620,179071643849,1,1-3,744,1,3,10855,10969.411424502228,-114.41142450222833,LOS
6,19253,3,0,3,"6d,",1044324,0,3,110,1024,64,,8b8b8b8b,,,748.768,1572,4.71580685593012e-06,-78.102,-80.003,4096,23558,272,1051,17251,17790,16244,4096,52,37,15,44319,255,128,126,177,0,16,25531,193387986432,206564886016,206934421504,193388002892,19036,3,0,3,"6d,",1047094,,10819,8b8b8b8b,1,16460,747.7439999999999,1408.0,-4.5656219242126e-06,-79.531,-82.734,59904.0,19973.0,270.0,1027.0,16771.0,15510.0,11140.0,9383.0,40.0,25.0,47.0,86622.0,255.0,124.0,123.0,166.0,272.0,16.0,33722,192791714304.0,205968484864,206338086912,192791698854,205968501324,206564870700,206934437964,206338071497,1,1-3,748,1,3,10819,10969.411424502228,-150.41142450222833,LOS
8,19255,3,0,3,"6d,",1044433,0,3,110,1024,64,,8b8b8b8b,,,747.7439999999999,1512,4.41543699249508e-06,-78.007,-82.8,63744,22533,272,1021,17693,16171,9539,63744,44,36,60,44136,255,128,126,177,0,16,7610,247921093120,261098123776,261467527680,247921109580,19038,3,0,3,"6d,",1047203,,10829,8b8b8b8b,1,16460,748.7760000000001,1444.0,-5.01617671936516e-06,-79.676,-81.421,6400.0,21509.0,268.0,1025.0,15751.0,16917.0,14533.0,9560.0,44.0,22.0,58.0,86495.0,255.0,124.0,123.0,166.0,272.0,16.0,34747,247324569600.0,260501471232,260870941696,247324554173,260501487692,261098108429,261467544140,260870926317,1,1-3,747,1,3,10829,10969.411424502228,-140.41142450222833,LOS
9,19256,3,0,3,"6d,",1044488,0,3,110,1024,64,,8b8b8b8b,,,743.48,1544,4.50554795152559e-06,-79.98,-81.408,58880,21510,268,1051,16504,17362,13013,58880,52,39,8,44335,255,128,126,177,0,16,30905,275187646464,288364548096,288734087168,275187662924,19039,3,0,3,"6d,",1047258,,10855,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,274590997504,,287767769600,288137375744,274590981845,287767786060,288364532498,288734103628,288137360114,1,1-3,743,1,3,10855,10969.411424502228,-114.41142450222833,LOS
10,19257,3,0,3,"6d,",1044543,0,3,110,1024,64,,8b8b8b8b,,,747.7360000000001,1568,4.595658910556099e-06,-78.005,-81.428,59136,22022,267,1020,16561,17365,12858,59136,56,37,56,44271,255,128,126,177,0,16,45498,302454199808,315631165952,316000636416,302454216268,19040,3,0,3,"6d,",1047312,,10830,8b8b8b8b,1,16460,748.7760000000001,1404.0,-4.71580685593012e-06,-79.736,-81.268,7424.0,19205.0,271.0,1026.0,16765.0,16452.0,13570.0,9911.0,40.0,25.0,51.0,86552.0,255.0,124.0,123.0,166.0,272.0,16.0,32187,301857424896.0,315034262016,315403799040,301857409497,315034278476,315631150595,316000652876,315403783671,1,1-3,747,1,3,10830,10969.411424502228,-139.41142450222833,LOS
12,19259,3,0,3,"6d,",1044652,0,3,110,1024,64,,8b8b8b8b,,,747.704,1516,4.41543699249508e-06,-79.931,-81.633,54528,20741,280,1051,17432,17728,15372,54528,44,36,15,44152,255,128,126,177,0,16,6330,356987305984,370164210176,370533741056,356987322444,19042,3,0,3,"6d,",1047422,,10799,8b8b8b8b,1,16460,748.808,1428.0,-4.32532603346457e-06,-79.863,-81.211,12032.0,18949.0,269.0,1027.0,17015.0,17123.0,11529.0,10054.0,40.0,26.0,46.0,86495.0,255.0,124.0,123.0,166.0,272.0,16.0,30651,356390279680.0,369567054848,369936652288,356390264307,369567071308,370164194793,370533757516,369936636931,1,1-3,747,1,3,10799,10969.411424502228,-170.41142450222833,LOS
14,19261,3,0,3,"6d,",1044761,0,3,110,1024,64,,8b8b8b8b,,,746.672,1588,4.26525206077756e-06,-79.969,-82.971,46592,22790,275,1050,17978,16671,10320,46592,52,36,12,44265,255,128,126,177,0,16,15034,411520414720,424697254400,425066847232,411520431180,19044,3,0,3,"6d,",1047531,,10819,8b8b8b8b,1,16460,749.84,1460.0,-4.5656219242126e-06,-79.852,-81.736,22528.0,19717.0,267.0,1028.0,16511.0,17490.0,14731.0,9879.0,40.0,22.0,51.0,86390.0,255.0,124.0,123.0,166.0,272.0,16.0,32699,410923137024.0,424099847680,424469507072,410923121660,424099864140,424697238986,425066863692,424469491755,1,1-3,746,1,3,10819,10969.411424502228,-150.41142450222833,LOS
16,19263,3,0,3,"6d,",1044870,0,3,110,1024,64,,8b8b8b8b,,,746.648,1628,4.50554795152559e-06,-79.858,-81.467,39936,22790,280,1020,17413,17758,14276,39936,60,36,57,44151,255,128,126,177,0,16,1466,466053519360,479230492160,479599953920,466053535820,19046,3,0,3,"6d,",1047640,,10793,8b8b8b8b,1,16460,749.8639999999999,1360.0,-4.535584937869091e-06,-79.82,-81.153,25344.0,18181.0,269.0,1026.0,16914.0,16113.0,12666.0,9956.0,32.0,24.0,54.0,86552.0,255.0,124.0,123.0,166.0,272.0,16.0,4795,465455990272.0,478632834048,479002362368,465455974935,478632850508,479230476720,479599970380,479002347066,1,1-3,746,1,3,10793,10969.411424502228,-176.41142450222833,LOS
18,19265,3,0,3,"6d,",1044979,0,3,110,1024,64,,8b8b8b8b,,,746.648,1568,4.74584384227362e-06,-79.881,-81.777,35584,21766,289,1051,17754,18564,16767,35584,44,36,16,44193,255,128,126,177,0,16,23226,520586625536,533763534336,534133060608,520586641996,19048,3,0,3,"6d,",1047749,,10811,8b8b8b8b,1,16460,749.872,1424.0,-4.80591781496063e-06,-79.9,-82.81700000000001,31232.0,19205.0,270.0,1027.0,17001.0,16603.0,9676.0,10215.0,40.0,26.0,45.0,86494.0,255.0,124.0,123.0,166.0,272.0,16.0,27067,519988845056.0,533165624832,533535217664,519988829758,533165641292,533763518879,534133077068,533535202386,1,1-3,746,1,3,10811,10969.411424502228,-158.41142450222833,LOS
20,19267,3,0,3,"6d,",1045089,0,3,110,1024,64,,8b8b8b8b,,,746.64,1604,4.685769869586609e-06,-79.855,-81.634,34560,22278,285,1021,17247,16888,17398,34560,60,35,62,44239,255,128,126,177,0,16,24506,575119732224,588296770048,588666170880,575119748684,19050,3,0,3,"6d,",1047859,,10792,8b8b8b8b,1,16460,750.904,1472.0,-4.2952890471210604e-06,-79.899,-81.717,35072.0,21253.0,278.0,1025.0,16545.0,17350.0,16852.0,10827.0,44.0,27.0,48.0,86415.0,255.0,124.0,123.0,166.0,272.0,16.0,41403,574521700352.0,587698609152,588068076544,574521685077,587698625612,588296754579,588666187340,588068061270,1,1-3,746,1,3,10792,10969.411424502228,-177.41142450222833,LOS
21,19268,3,0,3,"6d,",1045143,0,3,110,1024,64,,8b8b8b8b,,,741.352,1456,4.50554795152559e-06,-79.895,-82.992,26112,21765,270,1051,16845,15991,12083,26112,44,37,14,44225,255,128,126,177,0,16,52665,602386285568,615563196416,615932724224,602386302028,19051,3,0,3,"6d,",1047913,,10806,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,601788128256,,614964909568,615334504448,601788112730,614964926028,615563180674,615932740684,615334488941,1,1-3,741,1,3,10806,10969.411424502228,-163.41142450222833,LOS
22,19269,3,0,3,"6d,",1045198,0,3,110,1024,64,,8b8b8b8b,,,745.6080000000001,1472,4.5656219242126e-06,-79.827,-81.005,24832,21765,271,1021,16731,15791,12780,24832,48,37,58,44303,255,128,126,177,0,16,23482,629652840960,642829815808,643199273472,629652857420,19052,3,0,3,"6d,",1047968,,10831,8b8b8b8b,1,16460,750.904,1540.0,-4.50554795152559e-06,-79.721,-81.312,40704.0,20742.0,271.0,1026.0,16208.0,17435.0,13289.0,9876.0,52.0,26.0,49.0,86470.0,255.0,124.0,123.0,166.0,272.0,16.0,20667,629054557696.0,642231403520,642600927744,629054542435,642231419980,642829800317,643199289932,642600912509,1,1-3,745,1,3,10831,10969.411424502228,-138.41142450222833,LOS
24,19271,3,0,3,"6d,",1045307,0,3,110,1024,64,,8b8b8b8b,,,745.584,1580,4.595658910556099e-06,-78.05199999999999,-81.825,22784,21510,272,1052,17116,17941,15096,22784,52,37,14,44421,255,128,126,177,0,16,56506,684185945088,697362857984,697732380160,684185961548,19054,3,0,3,"6d,",1048077,,10793,8b8b8b8b,1,16460,750.936,1500.0,-4.595658910556099e-06,-79.744,-81.372,43008.0,21509.0,277.0,1027.0,17687.0,17550.0,12908.0,10372.0,44.0,26.0,45.0,86429.0,255.0,124.0,123.0,166.0,272.0,16.0,6075,683587410432.0,696764194304,697133783040,683587395180,696764210764,697362842485,697732396620,697133767796,1,1-3,745,1,3,10793,10969.411424502228,-176.41142450222833,LOS
25,19272,3,0,3,"6d,",1045362,0,3,110,1024,64,,8b8b8b8b,,,749.832,1532,4.5656219242126e-06,-79.913,-81.441,22016,22533,268,1020,15745,17142,14392,22016,52,36,58,44159,255,128,126,177,0,16,33211,711452498432,724629475840,724998935040,711452514892,19055,3,0,3,"6d,",1048132,,10832,8b8b8b8b,1,16460,746.68,1524.0,-4.74584384227362e-06,-79.767,-82.869,48640.0,19205.0,293.0,1026.0,18540.0,18304.0,10288.0,11667.0,40.0,23.0,55.0,86655.0,255.0,124.0,123.0,166.0,272.0,16.0,27834,710853838336.0,724030686720,724400212480,710853822826,724030703180,724629460586,724998951500,724400197009,1,1-3,749,1,3,10832,10969.411424502228,-137.41142450222833,LOS
26,19273,3,0,3,"6d,",1045416,0,3,110,1024,64,,8b8b8b8b,,,745.584,1480,4.50554795152559e-06,-79.895,-81.3,23040,20229,267,1022,15340,16811,14203,23040,48,34,67,44238,255,128,126,177,0,16,60602,738719051776,751896093696,752265486336,738719068236,19056,3,0,3,"6d,",1048186,,10800,8b8b8b8b,1,16460,751.96,1464.0,-4.445473978838581e-06,-79.641,-81.538,49408.0,21509.0,281.0,1025.0,16887.0,16155.0,17195.0,10424.0,44.0,25.0,53.0,86510.0,255.0,124.0,123.0,166.0,272.0,16.0,63419,738120265728.0,751297178624,751666637824,738120250493,751297195084,751896078174,752265502796,751666622607,1,1-3,745,1,3,10800,10969.411424502228,-169.41142450222833,LOS
27,19274,3,0,3,"6d,",1045471,0,3,110,1024,64,,8b8b8b8b,,,749.84,1648,4.47551096518209e-06,-79.92699999999999,-81.749,19968,22278,289,1052,17782,18447,16683,19968,56,36,18,44104,255,128,126,177,0,16,30395,765985607168,779162519552,779532039680,765985623628,19057,3,0,3,"6d,",1048241,,10802,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,765386695680,,778563479040,778933065728,765386680191,778563495500,779162504290,779532056140,778933050251,1,1-3,749,1,3,10802,10969.411424502228,-167.41142450222833,LOS
28,19275,3,0,3,"6d,",1045526,0,3,110,1024,64,,8b8b8b8b,,,745.576,1584,4.47551096518209e-06,-78.013,-81.72,20480,21254,273,1021,16757,18029,14930,20480,52,37,58,44206,255,128,126,177,0,16,30138,793252158464,806429139968,806798593024,793252174924,19058,3,0,3,"6d,",1048296,,10854,8b8b8b8b,1,16460,750.936,1548.0,-4.50554795152559e-06,-79.76100000000001,-82.772,48640.0,20230.0,286.0,1026.0,18422.0,17302.0,9615.0,11101.0,44.0,25.0,50.0,86590.0,255.0,124.0,123.0,166.0,272.0,16.0,63163,792653121024.0,805829973504,806199493120,792653105786,805829989964,806429124460,806798609484,806199477912,1,1-3,745,1,3,10854,10969.411424502228,-115.41142450222833,LOS
29,19276,3,0,3,"6d,",1045580,0,3,110,1024,64,,8b8b8b8b,,,748.8,1620,4.595658910556099e-06,-79.878,-81.196,12800,24070,289,1051,18303,18502,12070,12800,52,36,16,44263,255,128,126,177,0,16,32699,820518711296,833695563776,834065148416,820518727756,19059,3,0,3,"6d,",1048350,,10774,8b8b8b8b,1,16460,747.712,1492.0,-4.32532603346457e-06,-79.935,-81.795,52736.0,19205.0,280.0,1028.0,17290.0,18370.0,15827.0,11076.0,36.0,25.0,45.0,86549.0,255.0,124.0,123.0,166.0,272.0,16.0,35514,819919548416.0,833096271872,833465923072,819919532938,833096288332,833695548486,834065164876,833465907611,1,1-3,748,1,3,10774,10969.411424502228,-195.41142450222833,LOS
30,19277,3,0,3,"6d,",1045635,0,3,110,1024,64,,8b8b8b8b,,,744.52,1568,4.685769869586609e-06,-78.141,-81.868,6144,23046,269,1052,17039,17702,15125,6144,52,36,18,44279,255,128,126,177,0,16,36794,847785264640,860962181632,861331703296,847785281100,19060,3,0,3,"6d,",1048405,,10781,8b8b8b8b,1,16460,743.488,1536.0,-4.535584937869091e-06,-79.71,-81.32300000000001,60416.0,19974.0,284.0,1027.0,17908.0,18342.0,12700.0,10818.0,44.0,27.0,45.0,86583.0,255.0,124.0,123.0,166.0,272.0,16.0,62649,847185976320.0,860362763776,860732352512,847185960632,860362780236,860962166060,861331719756,860732336824,1,1-3,744,1,3,10781,10969.411424502228,-188.41142450222833,LOS
31,19278,3,0,3,"6d,",1045690,0,3,110,1024,64,,8b8b8b8b,,,748.768,1568,4.47551096518209e-06,-79.792,-81.376,4096,20230,271,1021,15665,17386,14380,4096,56,36,60,44246,255,128,126,177,0,16,12731,875051817984,888228799488,888598256640,875051834444,19061,3,0,3,"6d,",1048459,,10847,8b8b8b8b,1,16460,747.7439999999999,1536.0,-4.50554795152559e-06,-79.804,-81.09,64256.0,23046.0,277.0,1026.0,17587.0,17795.0,10579.0,10516.0,48.0,27.0,48.0,86598.0,255.0,124.0,123.0,166.0,272.0,16.0,46010,874452403712.0,887629256192,887998779904,874452388295,887629272652,888228784164,888598273100,887998764509,1,1-3,748,1,3,10847,10969.411424502228,-122.41142450222833,LOS
32,19279,3,0,3,"6d,",1045744,0,3,110,1024,64,,8b8b8b8b,,,743.48,1540,4.47551096518209e-06,-78.128,-81.497,58880,23558,266,1051,16635,17331,13045,58880,52,38,10,44262,255,128,126,177,0,16,64441,902318371328,915495225856,915864807936,902318387788,19062,3,0,3,"6d,",1048514,,10858,8b8b8b8b,1,16460,744.52,1420.0,-4.47551096518209e-06,-79.581,-81.14699999999999,6656.0,20741.0,267.0,1028.0,14830.0,16852.0,13811.0,9283.0,40.0,23.0,48.0,86413.0,255.0,124.0,123.0,166.0,272.0,16.0,61114,901718831616.0,914895556608,915265205760,901718815942,914895573068,915495210250,915864824396,915265190140,1,1-3,743,1,3,10858,10969.411424502228,-111.41142450222833,LOS
33,19280,3,0,3,"6d,",1045799,0,3,110,1024,64,,8b8b8b8b,,,747.712,1564,4.685769869586609e-06,-79.956,-81.643,56064,22278,272,1052,16849,17613,14628,56064,52,35,21,44239,255,128,126,177,0,16,53690,929584932352,942761843200,943131359232,929584948812,19063,3,0,3,"6d,",1048569,,10793,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,928985266688,,942162048512,942531631104,928985251297,942162064972,942761827815,943131375692,942531615747,1,1-3,747,1,3,10793,10969.411424502228,-176.41142450222833,LOS
35,19282,3,0,3,"6d,",1045908,0,3,110,1024,64,,8b8b8b8b,,,746.648,1616,4.62569589689961e-06,-79.99600000000001,-81.86,36096,22790,279,1051,17376,18040,16326,36096,56,38,10,44271,255,128,126,177,0,16,57530,984118030848,997294887424,997664465408,984118047308,19065,3,0,3,"6d,",1048678,,10819,8b8b8b8b,1,16460,749.8639999999999,1524.0,-4.535584937869091e-06,-79.913,-81.535,25600.0,20741.0,272.0,1028.0,17083.0,17720.0,13505.0,10398.0,48.0,25.0,48.0,86512.0,255.0,124.0,123.0,166.0,272.0,16.0,48059,983518113792.0,996694841344,997064485888,983518098464,996694857804,997294871985,997664481868,997064470596,1,1-3,746,1,3,10819,10969.411424502228,-150.41142450222833,LOS
37,19284,3,0,3,"6d,",1046017,0,3,110,1024,64,,8b8b8b8b,,,745.576,1556,4.38540000615157e-06,-79.946,-81.819,22016,22534,275,1021,17290,17948,15465,22016,48,35,64,44264,255,128,126,177,0,16,35514,1038651139072,1051828126720,1052197572096,1038651155532,19067,3,0,3,"6d,",1048787,,10824,8b8b8b8b,1,16460,750.928,1564.0,-4.50554795152559e-06,-79.816,-81.313,45312.0,22790.0,276.0,1026.0,17488.0,17958.0,11953.0,10471.0,52.0,28.0,46.0,86512.0,255.0,124.0,123.0,166.0,272.0,16.0,20667,1038050970624.0,1051227829248,1051597341184,1038050955397,1051227845708,1051828111202,1052197588556,1051597325973,1,1-3,745,1,3,10824,10969.411424502228,-145.41142450222833,LOS
38,19285,3,0,3,"6d,",1046072,0,3,110,1024,64,,8b8b8b8b,,,748.768,1484,4.445473978838581e-06,-78.04899999999999,-81.53699999999999,5376,21509,272,1052,16543,16518,15561,5376,52,37,16,44256,255,128,126,177,0,16,40891,1065917692416,1079094612480,1079464126976,1065917708876,19068,3,0,3,"6d,",1048842,,10788,8b8b8b8b,1,16460,747.704,1568.0,-4.50554795152559e-06,-79.752,-81.779,53248.0,21510.0,284.0,1027.0,17498.0,18358.0,16308.0,10925.0,48.0,26.0,46.0,86606.0,255.0,124.0,123.0,166.0,272.0,16.0,23226,1065317398528.0,1078494189568,1078863770624,1065317383060,1078494206028,1079094597169,1079464143436,1078863755191,1,1-3,748,1,3,10788,10969.411424502228,-181.41142450222833,LOS
40,19287,3,0,3,"6d,",1046181,0,3,110,1024,64,,8b8b8b8b,,,746.68,1452,4.445473978838581e-06,-79.916,-82.656,47360,18949,266,1051,17225,15364,9113,47360,40,37,12,44240,255,128,126,177,0,16,18874,20939168768,34116028928,34485603840,20939185228,19070,3,0,3,"6d,",1048951,,10800,8b8b8b8b,1,16460,748.808,1420.0,-4.5656219242126e-06,-79.607,-82.86,10496.0,20229.0,269.0,1028.0,16557.0,15875.0,11573.0,9479.0,44.0,25.0,44.0,86463.0,255.0,124.0,123.0,166.0,272.0,16.0,44475,20338623488.0,33515354624,33884996096,20338608101,33515371084,34116013525,34485620300,33884980760,1,1-3,746,1,3,10800,10969.411424502228,-169.41142450222833,LOS
42,19289,3,0,3,"6d,",1046290,0,3,110,1024,64,,8b8b8b8b,,,745.576,1580,4.50554795152559e-06,-78.005,-81.66199999999999,21504,22022,278,1021,17114,17459,15817,21504,56,36,59,44208,255,128,126,177,0,16,55994,75472275456,88649266688,89018710016,75472291916,19072,3,0,3,"6d,",1049060,,10819,8b8b8b8b,1,16460,750.928,1372.0,-4.47551096518209e-06,-79.65899999999999,-81.09899999999999,40960.0,16645.0,268.0,1026.0,15335.0,16725.0,13313.0,9521.0,36.0,25.0,54.0,86545.0,255.0,124.0,123.0,166.0,272.0,16.0,59323,74871478784.0,88048340992,88417850880,74871463516,88048357452,88649251176,89018726476,88417835662,1,1-3,745,1,3,10819,10969.411424502228,-150.41142450222833,LOS
43,19290,3,0,3,"6d,",1046345,0,3,110,1024,64,,8b8b8b8b,,,748.7760000000001,1464,4.47551096518209e-06,-79.965,-81.617,6656,19461,267,1052,16219,17321,14526,6656,40,34,19,44160,255,128,126,177,0,16,23483,102738828288,115915754496,116285262848,102738844748,19073,3,0,3,"6d,",1049115,,10771,8b8b8b8b,1,16460,747.704,1460.0,-4.47551096518209e-06,-79.825,-81.57,54528.0,18437.0,274.0,1027.0,16733.0,17924.0,14320.0,10340.0,36.0,26.0,46.0,86438.0,255.0,124.0,123.0,166.0,272.0,16.0,23994,102137906176.0,115314703360,115684278272,102137890713,115314719820,115915739166,116285279308,115684262851,1,1-3,748,1,3,10771,10969.411424502228,-198.41142450222833,LOS
45,19292,3,0,3,"6d,",1046454,0,3,110,1024,64,,8b8b8b8b,,,746.68,1544,4.74584384227362e-06,-79.903,-81.324,43008,23046,276,1051,17118,17714,12898,43008,48,35,18,44208,255,128,126,177,0,16,57018,157271934464,170448800256,170818369536,157271950924,19075,3,0,3,"6d,",1049224,,10789,8b8b8b8b,1,16460,,,,,,,,,,,,,,,,,,,,,,,,156670760960,,169847497728,170217133568,156670745612,169847514188,170448784820,170818385996,170217118260,1,1-3,746,1,3,10789,10969.411424502228,-180.41142450222833,LOS
46,19293,3,0,3,"6d,",1046509,0,3,110,1024,64,,8b8b8b8b,,,741.36,1576,4.74584384227362e-06,-78.001,-81.26899999999999,31232,21254,277,1052,17760,18222,11021,31232,48,40,8,44358,255,128,126,177,0,16,24761,184538487808,197715416064,198084922368,184538504268,19076,3,0,3,"6d,",1049279,,10869,8b8b8b8b,1,16460,745.6160000000001,1472.0,-4.77588082861713e-06,-79.717,-82.945,32512.0,19717.0,281.0,1027.0,17759.0,17766.0,10167.0,10608.0,40.0,27.0,43.0,86526.0,255.0,124.0,123.0,166.0,272.0,16.0,24506,183937188864.0,197113987584,197483560960,183937173323,197114004044,197715400366,198084938828,197483545436,1,1-3,741,1,3,10869,10969.411424502228,-100.41142450222833,LOS
47,19294,3,0,3,"6d,",1046563,0,3,110,1024,64,,8b8b8b8b,,,745.576,1624,4.65573288324311e-06,-79.938,-81.8,20480,22278,286,1021,17809,18604,16218,20480,52,36,61,44199,255,128,126,177,0,16,37306,211805043200,224982033920,225351479808,211805059660,19077,3,0,3,"6d,",1049333,,10868,8b8b8b8b,1,16460,750.928,1444.0,-4.5656219242126e-06,-79.725,-81.29,42752.0,19205.0,276.0,1026.0,17285.0,17423.0,12840.0,10252.0,40.0,26.0,50.0,86544.0,255.0,124.0,123.0,166.0,272.0,16.0,34235,211203618304.0,224380480000,224749992448,211203603051,224380496460,224982018404,225351496268,224749977255,1,1-3,745,1,3,10868,10969.411424502228,-101.41142450222833,LOS
48,19295,3,0,3,"6d,",1046618,0,3,110,1024,64,,8b8b8b8b,,,748.768,1500,4.50554795152559e-06,-78.006,-81.577,4096,21509,273,1051,16451,16609,15980,4096,52,35,16,44202,255,128,126,177,0,16,17339,239071593984,252248459776,252618030592,239071610444,19078,3,0,3,"6d,",1049388,,10779,8b8b8b8b,1,16460,747.7360000000001,1452.0,-4.65573288324311e-06,-79.664,-81.306,58368.0,20229.0,278.0,1028.0,17387.0,17474.0,13171.0,10258.0,40.0,25.0,46.0,86559.0,255.0,124.0,123.0,166.0,272.0,16.0,60346,238470043648.0,251646780416,252016417792,238470028192,251646796876,252248444444,252618047052,252016402376,1,1-3,748,1,3,10779,10969.411424502228,-190.41142450222833,LOS
50,19297,3,0,3,"6d,",1046727,0,3,110,1024,64,,8b8b8b8b,,,747.704,1572,4.65573288324311e-06,-79.995,-81.785,54272,20230,283,1021,17725,18581,15639,54272,44,35,61,44144,255,128,126,177,0,16,15802,293604700160,306781694976,307151135232,293604716620,19080,3,0,3,"6d,",1049497,,10821,8b8b8b8b,1,16460,748.8,1472.0,-4.535584937869091e-06,-79.758,-81.242,13312.0,20485.0,281.0,1026.0,17945.0,18147.0,11620.0,10708.0,36.0,27.0,48.0,86695.0,255.0,124.0,123.0,166.0,272.0,16.0,6587,293002898432.0,306179764224,306549271040,293002883072,306179780684,306781679584,307151151692,306549255702,1,1-3,747,1,3,10821,10969.411424502228,-148.41142450222833,LOS
52,19299,3,0,3,"6d,",1046836,0,3,110,1024,64,,8b8b8b8b,,,746.648,1516,4.595658910556099e-06,-78.054,-81.82,35584,21509,276,1020,17089,17728,16134,35584,44,36,58,44359,255,128,126,177,0,16,49594,348137806848,361314739200,361684245504,348137823308,19082,3,0,3,"6d,",1049606,,10827,8b8b8b8b,1,16460,749.872,1476.0,-4.8359548013041295e-06,-79.783,-81.059,31744.0,19717.0,279.0,1027.0,17693.0,17861.0,10545.0,10619.0,40.0,27.0,43.0,86583.0,255.0,124.0,123.0,166.0,272.0,16.0,7611,347535753728.0,360712557056,361082129920,347535738440,360712573516,361314723743,361684261964,361082114649,1,1-3,746,1,3,10827,10969.411424502228,-142.41142450222833,LOS
