fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label
1958,3287,3313,88,17640,1518,46350,-91.274,-111.719,20.445,1.223995881,4485,4704.247761,219.247761,1
2098,3784,3740,96,20434,1517,47379,-91.918,-110.786,18.868,1.205269914,4485,4704.247761,219.247761,1
1098,3806,2776,80,19063,1515,46442,-91.628,-111.343,19.715,1.215163487,4490,4704.247761,214.247761,1
3404,2380,3918,84,18708,1518,46533,-91.529,-110.767,19.238,1.21018475,4504,4704.247761,200.247761,1
1852,3659,2114,88,19107,1516,46779,-91.633,-112.927,21.294,1.23238353,4527,4704.247761,177.247761,1
3812,2628,4178,92,19425,1517,46982,-91.698,-109.539,17.841,1.194562586,4536,4704.247761,168.247761,1
3500,2746,4064,96,19005,1517,46403,-91.604,-109.24,17.636,1.192524344,4490,4704.247761,214.247761,1
2548,4173,2306,88,20536,1518,46846,-91.934,-110.291,18.357,1.199675854,4527,4704.247761,177.247761,1
1287,3729,3030,108,20434,1517,46743,-91.918,-111.574,19.656,1.213842773,4504,4704.247761,200.247761,1
1554,3222,3080,92,17651,1516,46613,-91.288,-111.125,19.837,1.217301288,4480,4704.247761,224.247761,1
3992,2312,4351,72,21407,1517,46531,-90.12,-109.683,19.563,1.21707723,4541,4704.247761,163.247761,1
2154,3300,3213,100,17328,1517,46163,-91.202,-111.765,20.563,1.225466547,4485,4704.247761,219.247761,1
2982,3227,3946,88,20552,1516,47176,-91.949,-109.071,17.122,1.186211922,4475,4704.247761,229.247761,1
2261,3647,2052,92,17104,1518,46458,-91.14,-111.18,20.04,1.219881501,4504,4704.247761,200.247761,1
1782,3688,3529,80,20372,1518,46217,-91.9,-110.292,18.392,1.200130577,4490,4704.247761,214.247761,1
4100,2005,3605,92,16717,1452,47493,-91.427,-109.313,17.886,1.195631487,4522,4704.247761,182.247761,1
1362,3962,2487,88,17543,1516,46069,-91.262,-111.4,20.138,1.220661392,4508,4704.247761,196.247761,1
4226,1903,3725,80,18738,1516,46403,-91.548,-109.13,17.582,1.192052257,4527,4704.247761,177.247761,1
1077,3779,2983,92,19534,1517,46818,-91.723,-111.503,19.78,1.215649292,4499,4704.247761,205.247761,1
3936,2424,4012,80,18752,1517,46145,-91.545,-109.376,17.831,1.194778524,4522,4704.247761,182.247761,1
1506,3831,2741,100,19938,1516,46698,-91.817,-111.53,19.713,1.214698803,4499,4704.247761,205.247761,1
3777,2630,3954,88,20058,1516,46660,-91.843,-109.306,17.463,1.190139695,4541,4704.247761,163.247761,1
1144,3392,2737,88,16736,1518,46239,-91.046,-112.71,21.664,1.237945654,4480,4704.247761,224.247761,1
1137,4228,3043,80,19922,1517,46379,-91.808,-110.177,18.369,1.200080603,4518,4704.247761,186.247761,1
1330,3691,2882,84,18224,1512,47140,-91.45,-111.416,19.966,1.218326955,4494,4704.247761,210.247761,1
1886,3666,3231,92,19471,1493,47188,-91.847,-110.162,18.315,1.199407711,4494,4704.247761,210.247761,1
1050,3547,2756,84,16839,1517,46239,-91.078,-112.919,21.841,1.239805441,4466,4704.247761,238.247761,1
3102,2789,3525,96,18870,1517,47110,-91.573,-110.386,18.813,1.205442652,4499,4704.247761,205.247761,1
1679,4280,3198,88,18284,1518,45987,-91.43,-110.598,19.168,1.209646724,4466,4704.247761,238.247761,1
949,4219,2795,80,19195,1516,46705,-91.652,-111.88,20.228,1.220704404,4494,4704.247761,210.247761,1
2439,3447,3594,96,20662,1518,46606,-91.961,-110.512,18.551,1.201726819,4504,4704.247761,200.247761,1
4225,1728,4036,80,18489,1518,46400,-91.478,-109.331,17.853,1.195161678,4494,4704.247761,210.247761,1
1563,3866,2282,92,18531,1517,46585,-91.494,-111.18,19.686,1.21516165,4527,4704.247761,177.247761,1
